"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88"
"Plate1_A10_ALDOB_Aviva",-0.0016053,0.011522,-0.0062577,-9.9983e-05,0.0036578,0.008677,-0.0039068,0.0074999,0.019725,0.042646,-0.0018972,0.020495,-0.007613,-0.0045668,-0.012455,0.015607,-0.010679,0.023496,-0.014792,-0.03466,-0.0029678,-0.018384,0.022555,0.0083738,-0.012342,0.0043962,-0.0091953,-0.023054,0.044944,0.00991,0.0236,-0.013831,0.0045942,0.041764,-0.0032198,-0.014049,0.021471,0.019782,0.017211,0.009586,0.013892,0.012432,-0.016933,-0.00028747,-0.01061,0.011352,-0.011191,-0.032756,0.0012058,0.0015331,-0.0091624,-0.0047009,0.018054,0.004175,-0.015158,0.010273,-0.00066061,0.021066,-0.013292,0.0028655,0.0064504,0.019722,-0.016378,0.022385,-0.0078898,-0.0029821,-0.0070783,-0.0060341,0.020781,-0.0052884,-0.0080674,-0.0083642,0.019187,-0.013732,0.004506,0.020377,-0.010291,0.030863,-0.030841,0.02096,-0.003421,-0.017096,-0.020717,0.012694,0.00024903,0.01732,-0.0089208,0.20141
"Plate1_A11_APCS_Abnova",-0.020574,0.022191,0.0016986,-0.0092828,-0.018269,0.011844,0.023923,0.014502,0.0047799,-0.054717,0.0039402,0.053129,0.017978,-0.01465,-0.019557,0.015459,-0.015881,-0.021995,0.03459,0.012496,-0.001448,-0.0011464,-0.0092439,0.0066445,0.027157,0.00033873,-0.0064808,0.073759,-0.014023,-0.029072,0.015642,0.030924,0.019896,-0.0070149,-0.0057826,0.028563,0.019301,-0.021158,0.035227,0.030314,-0.0028525,0.0050355,0.0097079,-0.028504,0.019452,0.026243,0.0081762,0.031437,-0.0054185,-0.032914,0.021756,-0.016079,0.023507,-0.0040686,-0.023829,0.011073,-0.017425,-0.021527,0.020077,0.074503,-0.02142,-0.023347,0.029827,-0.054496,0.024573,0.05911,0.020003,-0.026246,-0.097914,0.0041116,0.0082945,0.066596,-0.015903,-0.022394,-0.036588,-0.064033,0.025119,-0.052168,-0.021745,0.034684,-0.015612,-0.0066584,0.020342,-0.042436,0.0066098,0.070961,0.002368,0.68283
"Plate1_A12_SERPIND1_Aviva",-0.011302,0.023974,-0.0094151,-0.017776,-0.0047768,-0.0022837,-0.006077,-0.010761,0.0011111,0.0080157,-0.0055484,-0.0035599,0.022432,0.01281,0.013527,-0.0045455,0.011112,-0.01883,-0.0037875,-4.2814e-05,0.017471,-0.0047006,0.0027991,0.0089734,0.0088899,0.0015415,-0.0042833,0.031129,0.0027047,0.014462,0.027438,-0.0040194,0.013889,-0.0089841,-0.02169,-0.025844,0.02216,-0.0023075,-0.0092547,-0.0026332,0.013743,-0.0065613,0.01025,-0.012749,0.0042426,0.0010924,-0.027582,0.012093,-0.013178,-0.0089051,-0.00060665,0.023417,-0.031131,-0.0051244,0.0023837,0.0087604,-0.0068845,0.037205,0.026289,-0.0055577,0.049297,-0.019393,-0.015134,0.019107,-0.0080131,-0.012832,-0.033695,-0.012871,-0.0081846,0.0099584,0.023119,-0.0035477,-0.0097189,-0.0062658,-0.0071545,-0.012861,-0.0010302,-0.0016277,-0.012384,-0.0058576,-0.0038962,0.0017366,-0.00060986,0.011518,0.00044701,-0.006468,-0.001282,-0.076166
"Plate1_A13_BCL2L2_Abnova",0.027588,-0.0077199,0.047599,0.00031463,-0.031991,-0.022701,-0.018218,0.0039342,0.020133,-0.012727,0.0033793,-0.0032903,0.0039766,0.028602,-0.0045961,0.011586,-0.0020102,-0.039988,-0.01317,0.041753,0.0017721,0.037691,-0.0057817,-0.021871,-0.020858,-0.012498,0.014477,-0.029947,0.029701,-0.034307,-0.0079051,-0.028324,0.0061363,0.089392,0.0047165,0.084932,-0.017143,-0.069751,-0.016227,0.018522,-0.0016483,-0.024968,-0.016724,-0.046142,-0.027323,-0.045827,-0.018371,-0.024006,0.011305,-0.019442,0.019404,-0.013978,0.035806,-0.0068814,0.030261,0.033642,-0.021066,0.019705,0.02868,-0.028103,-0.013652,-0.019571,0.019736,-0.019077,-0.0060916,-0.016383,-0.020815,-0.0084057,-0.0013797,-0.0062895,-0.0098389,0.028153,-0.062097,0.010048,-0.036808,-0.029651,-0.0024368,-0.015786,0.030179,-0.04911,0.023362,-0.019232,-0.0017849,-0.019105,0.013341,0.018422,-0.019004,0.23642
"Plate1_A15_CEACAM1_Abnova",0.010589,0.021963,0.026021,0.044109,0.016629,-0.018729,-0.0046686,-0.0056321,-0.014204,-0.0017681,0.00010671,-0.031639,0.018044,0.034338,0.0018406,-0.0063954,-0.02321,0.0065976,-0.030463,-0.014693,0.014123,0.0045222,0.031993,0.0023043,0.012541,0.0083702,-0.017129,-0.032876,-0.032675,-0.0089703,0.010913,-0.025969,-0.039371,0.0085541,0.013824,0.014585,-0.010202,-0.019716,-0.011499,0.023102,0.035817,-0.0018523,0.010565,-0.0084103,0.0065811,0.01063,-0.042041,-0.0014489,-0.018961,0.017738,-0.00069999,-0.022329,-0.0035642,-0.0063122,-0.012141,0.022092,-0.015452,0.015492,-0.028008,-0.026179,0.0049131,-0.030024,0.013638,-0.029264,-0.00054223,-0.015284,0.0083619,0.0078741,-0.011288,-0.013665,0.023993,-0.023835,-0.016295,-0.012839,-0.00051422,0.0091654,0.01236,-0.027607,-0.019384,0.012264,-0.013937,-0.023864,0.022447,0.048644,-0.010687,-0.010623,0.010149,0.09209
"Plate1_A16_SFTPB_Aviva",-0.011863,0.01666,-0.015775,-0.0015195,-0.0012139,0.017903,-0.014739,-0.00054753,0.0034959,0.0041985,-0.011819,-0.0016938,0.012997,0.013419,0.0051818,-0.0018052,-0.0074226,0.034672,-0.024797,-0.0077654,0.0049965,-0.0065805,-0.0035446,-0.012301,-0.017802,-0.016268,-0.012275,-0.0077902,-0.011492,-0.017499,-0.012329,-0.01732,-0.01346,-0.018938,-0.013418,-0.0049314,0.012434,-0.00014662,-0.004085,-0.0093082,-0.021749,0.0051022,0.0033686,-0.036698,0.0076152,0.0075418,-0.0035812,-0.014947,0.010401,-0.015668,0.0039309,0.0022979,-0.013481,-0.002667,0.012132,0.001542,0.0014234,-0.00050435,0.00020871,0.011483,0.00042432,0.015258,0.013345,0.012693,-0.0072961,0.0074517,0.00038308,0.01097,0.0008317,0.011352,0.019732,-0.0035513,-0.014819,-0.0041205,0.013369,0.018071,0.0030747,-0.0061302,-0.029845,0.01211,-0.019899,0.0038509,-0.020879,-0.0049586,0.030373,0.002738,-0.0042229,-0.0059178
"Plate1_A17_BMX_Abnova",-0.034164,-0.0064088,-0.0079207,0.065357,-0.015769,0.030353,0.028729,-0.015669,-0.0081517,0.021815,-0.017173,0.0046759,0.035335,-0.025257,-0.039893,-0.0058206,-0.010845,-0.0087136,0.034631,0.01225,0.0050417,0.0074112,-0.021932,0.0010713,0.030946,-0.03021,-0.052157,0.034963,-0.0005951,0.018419,0.021865,-0.024888,-0.0097792,-0.02577,-0.058837,0.010379,-0.025914,-0.039591,0.025728,0.004987,-0.0047994,-0.04075,-0.0038719,0.0036402,0.0016141,-0.045358,-0.002434,0.018306,0.025828,-0.0070141,-0.013194,0.00031274,0.0072598,-0.0028691,-0.0004552,0.017395,0.020134,-0.023171,0.040535,0.018162,0.0060012,-0.013871,0.011506,-0.037239,0.033543,-0.019965,0.003696,0.012184,0.0036012,0.02474,0.0087639,-0.010859,-0.0013957,-0.057498,0.040293,0.018526,0.0055394,0.036748,0.029893,0.0058042,0.013012,-0.023753,0.023523,-0.00098447,-0.017795,-0.0020654,0.0092894,0.07988
"Plate1_A18_MASP2_Aviva",-0.0044258,0.017122,-0.0067746,-0.043304,-0.02646,-0.0082302,-0.030989,-0.0033813,-0.025858,0.02051,-0.037745,0.0001785,0.0053829,-0.011751,-0.0021115,-0.0061808,0.053257,0.0063505,0.0094925,0.036103,0.041385,-0.013416,-0.040461,-0.014901,-0.0058858,-0.0084277,-0.032176,0.00022335,0.011807,-0.011931,0.016675,-0.038146,-0.0011227,-0.0042756,0.010825,0.012413,0.009921,-0.0058654,-0.018445,-0.026266,-0.043377,-0.0058747,-0.0070405,-0.0085647,0.00041789,-0.0074336,-0.0071424,0.0055124,0.0036429,0.00082184,0.0039665,0.0097561,0.0099592,-0.011506,0.017806,0.0055011,-0.0038038,-0.0046976,-0.03336,0.021347,0.0032822,-0.0032107,-0.0011646,0.0081832,-0.014941,0.023644,-0.0068444,-0.014518,-0.022566,-0.016437,0.0206,-0.0065693,-0.020071,-0.00092004,0.019445,0.037743,-0.0065679,0.011347,-0.015596,-0.0052113,-0.008967,0.0001832,0.031155,0.049746,0.00051657,-0.037916,0.013303,0.020697
"Plate1_A19_CAPG_Abnova",0.016587,-0.017702,0.033496,0.0052932,-0.035328,-0.010192,-0.01943,-0.0047749,0.00072833,0.0045686,0.000685,-0.030622,0.015729,0.005557,0.0061882,0.0004888,-0.0067762,-0.0044325,-0.028226,0.019858,-0.013333,0.02586,0.010065,0.0092107,-0.0058386,-0.011008,-0.0043078,-0.041047,-0.025008,-0.010874,0.017087,-0.019387,0.026207,0.033852,-0.023992,0.0058994,0.030017,0.00048296,0.014354,0.032663,0.023241,0.0036675,-0.0094124,-0.0028405,-0.019654,-0.0038283,-0.0084374,-0.016858,-0.038437,-0.042144,-0.03511,0.010643,0.0019243,0.0025326,0.014668,0.018804,-0.030747,-0.0097172,-0.0072239,0.034676,0.034918,-0.011874,0.025748,-0.031746,-0.0064187,0.00048326,-0.0032328,-0.031587,0.0068325,-0.013726,-0.031064,0.010486,0.013859,-0.043028,-0.029251,0.039574,0.031134,0.023941,0.020113,0.010584,0.003343,-0.014651,-0.04483,0.011966,0.01066,0.00023084,-0.0036167,0.045989
"Plate1_A20_MARCO_Aviva",-0.0081492,0.020683,-0.0069061,-0.010657,-0.029834,0.011478,-0.012535,-0.0013907,0.0025016,0.0015351,-0.015219,0.00088087,0.0044331,-0.014629,0.0090633,-0.004425,-0.011541,0.012581,-0.00074072,0.001194,-5.2658e-05,-0.010926,0.0031779,-0.00038221,0.0031585,0.0084358,-0.011756,0.0045321,-0.012317,-0.022956,0.00043209,0.01341,0.006025,-0.022435,0.0084046,-0.0034995,0.010489,-0.019391,0.0026752,-0.018401,-0.0027965,0.022562,0.0014752,0.00029833,0.018239,0.015445,-0.013068,0.001994,-0.0064049,-0.0041298,0.0079112,0.0050356,0.0095604,-0.0091538,-0.00092815,-0.0062361,4.2164e-05,0.015925,-0.011618,0.0098886,0.01243,0.00088381,-0.019643,0.007294,-0.00059035,0.004336,-0.019554,0.0030981,0.021395,-0.027766,0.014518,-0.020449,0.020347,0.0185,-0.0080668,0.011566,0.0071783,0.011424,0.010202,0.0023791,-0.0092575,0.015394,-0.01991,0.011416,-0.012056,-0.012694,0.011857,-0.1332
