"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88"
"21103_B",-1.548,2.302,0.065786,-2.5639,4.574,-0.76586,4.2614,-2.8378,0.43228,-3.1189,2.6024,-3.5325,-2.1177,0.72429,-3.0472,1.8931,-0.49706,1.4202,-0.20096,1.0528,-2.688,0.37152,-0.25372,0.85134,-1.3177,1.3857,-1.7583,0.0063312,0.51417,-1.3776,-0.67729,0.60987,0.31635,-0.70965,-1.178,0.46024,0.78453,-0.11232,-1.3251,0.71726,0.0077096,0.40723,0.56378,-0.89122,-0.2701,-0.21463,-0.85583,-0.19085,0.65602,0.6025,-0.25696,-0.064534,-0.13467,-0.38581,-0.0197,-0.4297,0.20426,0.33555,0.77463,1.198,-0.0058357,-0.20966,-0.36665,-1.2036,-0.95599,-1.4284,2.0549,0.15894,1.3195,1.5383,-0.40588,-1.7085,-0.26503,-0.68684,-0.64102,-0.88985,0.34715,0.95822,0.51577,0.068843,0.62889,-0.081044,-0.5251,-0.3994,0.51346,0.13359,-0.51429,-2.5803e-15
"21106_B",-15.329,1.0304,4.8336,-0.54973,3.4892,-2.768,2.3012,1.7065,-2.8787,1.4256,1.5745,-3.8025,-3.7921,0.64429,0.99633,-0.15996,-1.1649,5.1767,3.5035,1.1813,-1.1443,-0.91141,2.3684,0.90162,1.3477,0.049481,-3.5135,1.8692,-1.7497,-0.43996,0.40377,1.77,-0.42749,-0.34615,0.53494,0.21835,-2.3743,0.34458,3.4731,-0.94166,0.6216,1.3043,0.29867,0.53606,0.9213,-1.2302,1.9312,-0.25892,-0.75301,0.0547,0.0073051,-0.53057,0.041316,0.78102,-0.7748,-0.21428,-0.31784,1.4373,1.0653,0.74884,1.2924,-0.014434,-0.3827,0.37228,-0.16476,0.56325,-0.44364,-0.84655,-0.67416,0.31859,-0.47574,-0.17696,0.21854,-0.024979,-0.15702,0.28109,-0.28605,-0.30944,-0.096322,-0.25899,-0.17254,0.18557,0.17181,0.049041,0.053335,-0.11956,-8.5214e-05,1.5817e-14
"21117_B",-6.1477,6.056,-0.10122,-0.5751,1.8283,-0.37267,2.3853,-1.4819,-0.97976,2.4746,3.7862,-2.3685,0.90773,-0.50033,-2.9638,2.5091,0.32569,0.21229,-0.16999,2.0986,-1.6502,0.33129,1.6177,0.39747,1.0212,-0.18018,3.2055,-2.4599,-2.3323,2.4438,0.49615,1.2445,0.56186,1.4489,2.1812,0.80211,0.51856,-0.16561,-0.63054,0.99555,-0.95758,-0.71689,0.40697,0.05311,0.19648,1.1243,-0.62936,0.31927,-0.14032,0.05033,-0.72428,-0.65954,0.69063,0.15034,-1,-0.14462,-0.43434,0.17937,0.31801,0.40405,0.073084,0.012302,0.49221,-0.087196,0.22241,-0.20857,0.14417,-0.17931,-0.64354,0.0025561,0.41148,0.83322,-0.57119,0.14426,-0.29542,0.49265,0.3328,-0.19728,-1.2805,0.71683,-1.1176,1.7868,-1.1797,-0.35809,1.1684,0.28884,-0.22485,6.6993e-16
"21121_B",-14.983,10.716,3.6737,3.9562,-0.086365,-0.12448,3.6951,1.5481,-0.74325,0.58053,-0.22711,-0.20683,-0.42864,-1.5957,1.6459,0.55691,-0.44538,-1.9536,-0.74227,1.3548,1.9014,0.34543,2.3856,0.076179,-2.6518,-1.9369,0.69353,-2.2626,-0.78555,-2.4061,-2.3618,-2.5367,1.1556,-1.1341,0.70474,-2.0907,-1.8123,-0.19275,-1.4022,-2.3941,0.39475,-2.1954,-0.080238,-0.25755,1.0817,-0.28805,1.4461,-0.57269,2.4421,1.5163,0.25042,-0.24983,0.82066,1.2331,0.61207,-0.81858,1.0557,-0.67733,0.26042,-0.2917,1.0958,-0.91909,1.009,-0.024802,-0.25316,-0.33113,-0.099817,-0.54969,-0.32996,0.20841,-0.18508,-0.24577,-0.71738,-0.17862,0.096095,0.52891,-0.079089,0.21157,0.15371,-0.31323,-0.27106,0.036287,-0.10845,-0.056564,-0.21263,0.073784,-0.17978,1.2817e-14
"21134_B",-4.3948,6.5488,2.5141,-0.85216,5.3916,-2.1129,1.7115,-3.46,0.44308,-0.91518,2.3407,0.7827,-0.12085,1.3065,1.0198,-1.127,-0.8608,-0.12966,-0.8492,-0.55531,0.045511,-0.70012,-2.2446,0.49322,0.6072,2.0312,-0.0046685,0.088791,-0.51651,0.34978,1.3573,-0.0096906,2.1443,0.20814,-1.8157,-0.93211,0.54143,-1.4203,-1.0157,-0.25629,-0.99866,-0.74964,0.63834,0.39963,0.56375,0.92963,2.2745,0.62069,-0.3739,-1.2123,0.043335,0.53947,0.11535,-0.77888,-1.4863,-1.08,0.17198,-0.99445,0.037794,1.2517,-1.1816,-0.28242,-0.83496,2.0209,-1.1105,0.091736,-0.33437,-0.70889,-0.1474,-0.01172,0.20462,0.64318,-0.36448,-1.2461,1.1573,0.41599,-0.96511,0.13872,0.41263,0.11896,-0.48711,-1.181,-0.76562,0.043667,0.20924,-0.39742,-0.41693,3.7849e-16
"21150_B",-13.663,12.604,3.6376,5.5679,1.4693,1.2995,2.7357,1.0472,1.3209,1.1601,0.19119,-0.021955,0.85315,-0.53271,1.9081,-1.1483,0.32169,-1.9516,-0.49293,0.090976,-0.083586,-1.0263,-0.82542,-0.29809,-1.0708,-0.060299,-1.2097,0.68124,0.7216,-0.61097,-0.097703,-0.86957,1.231,-0.30454,0.94954,1.1173,1.2192,0.16306,0.060585,0.86027,0.029754,2.4161,0.37805,0.89285,0.67229,0.85693,-0.83217,0.27976,-0.27984,0.72016,0.21493,-0.94892,-0.12139,-0.35848,-1.9873,0.70256,0.21206,1.5176,1.551,-0.56717,0.72706,0.70634,1.2989,-0.96948,0.2545,-1.0807,0.35435,0.12856,0.77915,-2.0087,0.41288,0.82795,-1.1516,-0.3221,1.8432,-0.39233,0.0070987,-0.059319,0.15346,-0.70051,0.21406,-0.22242,0.19202,0.054568,-0.20472,-0.2332,-0.14632,2.4927e-14
"21151_B",-5.667,8.5494,1.7445,2.1665,0.2558,-2.5692,0.9797,0.34037,-0.063631,1.4447,3.1983,1.3051,4.0847,-0.94166,-1.0203,4.1122,-2.4397,0.29604,-1.1878,0.53887,-1.6581,-0.72254,-2.4233,-0.50781,2.4704,-2.754,0.32581,0.083165,1.8108,0.25595,2.1139,-2.0384,-3.0571,-0.23831,-2.272,-0.12325,-1.9768,1.3545,0.79566,-0.59288,0.047288,-0.004303,0.6007,0.49211,-0.58091,0.63647,0.054734,0.50341,0.58198,0.68274,-0.55438,0.32989,0.72662,1.3948,-1.1288,-1.6196,-1.3633,-0.43941,-0.15854,1.1496,0.15157,-0.35041,-0.81723,0.20557,0.71885,-0.081317,0.069757,1.291,0.1315,-0.46473,0.85518,-0.2386,-0.64278,1.3879,-0.019429,-0.19287,-0.020276,0.063902,0.42542,-0.23761,0.60626,-0.14695,0.1906,-0.2162,-0.019725,0.39046,0.1355,-4.7386e-15
"21217_B",-7.0774,12.115,0.41795,3.0763,1.1536,2.0565,0.72431,-1.0791,0.85165,0.24116,1.3273,-0.11809,3.3027,-0.033106,-0.51854,-0.00043447,-0.77831,-1.7731,0.04621,-0.73622,-1.0783,-0.048566,-2.4358,0.047289,-0.65955,-0.68021,-1.3613,-0.084508,-0.31388,-0.12343,-0.089541,-1.5533,-1.9927,2.1544,1.4844,3.1255,0.7966,-1.1862,1.0354,-0.90263,-0.9791,-0.40395,-1.4349,-1.5223,-0.16942,-1.9062,1.5408,-0.85907,-0.0018913,0.24465,1.1359,-0.30135,0.55868,1.0819,1.0512,0.91522,-0.6836,0.64484,0.17617,-0.61032,-0.90356,0.28383,0.3924,-0.037311,0.24733,0.76131,-0.6028,-0.30236,1.7153,1.294,0.81423,0.30095,0.13208,-0.64144,-0.064928,-0.84542,-0.8438,-0.49626,-0.54301,0.65614,-0.37483,-0.49361,-0.58747,-0.60094,-0.28599,0.10698,-0.068787,1.7748e-15
"21233_B",-12.353,8.8817,5.4097,1.7852,2.636,-0.85173,3.1138,1.4201,-1.2889,1.4025,1.5049,-0.36693,-1.8145,0.55995,0.47434,0.19967,-1.3149,0.72826,-1.3997,-0.046767,1.5995,0.98939,2.2537,1.1067,0.18347,-2.8516,-0.29807,0.17992,2.1887,-0.77708,-1.0212,-2.1156,-1.4038,0.79677,-0.3171,-1.8057,-0.097643,-0.76065,-1.57,-1.4354,-1.6847,0.1991,-0.2916,-0.33673,-0.40126,-1.9083,-1.0349,-2.3469,-3.0825,-2.3089,-1.2114,0.94299,-2.2355,-1.1767,-0.32215,-0.75904,-0.37814,0.54391,-0.73533,-0.86866,-0.11092,0.373,-0.094248,0.27833,-0.41046,-0.10016,0.43199,0.14837,0.0028588,-0.23749,-0.0058124,0.0096935,0.043375,0.014354,0.27786,-0.018758,0.28405,-0.0019836,-0.41181,0.13068,-0.213,0.43418,0.13967,-0.16058,0.29901,0.17841,-0.015023,9.1538e-15
"21235_B",7.689,7.9769,-3.3228,-2.1935,5.8,-1.4651,-0.74564,-7.5673,2.9743,-1.6567,-0.94209,0.82123,-3.1582,-1.4591,-4.3141,-0.93889,0.24037,0.1156,0.31717,-4.7187,0.50568,1.0163,-0.6245,-2.8523,-1.4152,-1.446,0.17628,0.51682,-1.3779,1.5584,-0.53074,0.032078,-0.67699,0.75585,-1.0592,-0.90613,0.28727,-0.10373,-0.39047,-0.41511,0.74554,0.80266,-0.43502,0.98211,1.2491,-0.31325,-0.76485,-0.76148,-0.053307,1.0149,-0.2299,-0.36733,0.22173,-0.83713,-0.28102,-0.71645,-0.1752,-0.5675,1.5316,0.67175,0.13174,-0.40599,-0.49837,0.086337,-0.0083898,-0.081878,-0.45591,-0.72694,-0.10872,-0.26331,-0.42934,0.54653,0.045128,-0.15727,-0.28002,-0.1568,0.75065,-0.1166,-0.26556,0.92609,-0.31503,0.37416,0.6305,-0.97517,-1.8186,0.72025,0.8256,-2.055e-14
