Protein,Delta,DeltaSquared
Plate1_A10_ALDOB_Aviva,-0.019831468,0.039172519
Plate1_A11_APCS_Abnova,0.013272078,0.160141302
Plate1_A12_SERPIND1_Aviva,0.07494266,0.056917145
Plate1_A13_BCL2L2_Abnova,0.011543305,0.125913586
Plate1_A15_CEACAM1_Abnova,0.030223551,0.051627748
Plate1_A16_SFTPB_Aviva,0.024081759,0.038718951
Plate1_A17_BMX_Abnova,0.035934928,0.126180724
Plate1_A18_MASP2_Aviva,0.051274473,0.050560455
Plate1_A19_CAPG_Abnova,0.008624061,0.045478253
Plate1_A20_MARCO_Aviva,0.015414259,0.034142173
Plate1_A21_CAST_Abnova,0.013018594,0.036618737
Plate1_A22_LEP_Aviva,0.014953029,0.064787409
Plate1_A23_CD97_Abnova,0.020323596,0.088670664
Plate1_A24_APOB_Aviva,0.05263045,0.039315227
Plate1_A3_AGT_Abnova,-0.029216793,0.08670016
Plate1_A6_FZD8_Aviva,0.029863861,0.080178839
Plate1_A7_ALDOB_Abnova,-0.081198371,0.096985552
Plate1_A8_WNT7B_Aviva,0.026920373,0.040529255
Plate1_A9_ANK1_Abnova,0.000391897,0.255558765
Plate1_B11_PPIG_Abnova,-0.036950537,0.094174419
Plate1_B12_LCN1_Aviva,0.004504528,0.027225913
Plate1_B15_RIN1_Abnova,0.059987399,0.216514142
Plate1_B18_LGALS3BP_Aviva,0.018895212,0.031352746
Plate1_B19_CAP1_Abnova,-0.100938867,0.09828327
Plate1_B20_PRDX5_Aviva,0.043954051,0.047203125
Plate1_B21_HEXIM1_Abnova,-0.0055317,0.038369045
Plate1_B23_TGOLN2_Abnova,-0.047870383,0.138823204
Plate1_B24_AMPH_Aviva,0.010285741,0.032111617
Plate1_B3_WISP2_Abnova,0.016987463,0.063850103
Plate1_B6_JAK3_Aviva,0.033607727,0.028365232
Plate1_B8_IGFBP2_Aviva,0.03916882,0.039305178
Plate1_B9_RPS6KA5_Abnova,0.012795138,0.117104045
Plate1_C15_CTSD_Abnova,0.010640608,0.020781556
Plate1_C16_GDF15_Aviva,0.038579314,0.043323529
Plate1_C17_DEFA1_Abnova,0.083196114,0.169477437
Plate1_C18_KRT16_Aviva,-0.002852088,0.017287712
Plate1_C3_CDC25A_Abnova,-0.028634506,0.097751348
Plate1_C4_PON3_Aviva,0.036387237,0.063873906
Plate1_C5_CDH1_Abnova,0.055868175,0.1190039
Plate1_C6_C4B_Aviva,0.025973172,0.028145252
Plate1_D10_PTX3_Aviva,0.06167905,0.0958959
Plate1_D11_IL24_Abnova,-0.047344406,0.065702036
Plate1_D12_SFRP2_Aviva,-0.018026067,0.024121628
Plate1_D13_LILRA3_Abnova,-0.017065868,0.042323639
Plate1_D14_B2M_Aviva,-0.00456455,0.023274381
Plate1_D15_B3GNT6_Abnova,0.090490157,0.356184338
Plate1_D18_RAB5A_Aviva,-2.53E-05,0.052256488
Plate1_D20_SKG1_Aviva,-0.0113797,0.084335185
Plate1_D21_CSNK1G1_Abnova,-0.027797735,0.040122984
Plate1_D22_PTK6_Aviva,0.06125038,0.073198598
Plate1_D23_PSENEN_Abnova,-0.026935786,0.104752074
Plate1_D24_RLN1_Aviva,-0.005147705,0.027529973
Plate1_D5_SEPT9_Abnova,-0.006355568,0.045864224
