Protein,Delta,DeltaSquared
ALDOB_Aviva,-0.048073173,0.017197746
APCS_Abnova,0.132853426,0.155975185
SERPIND1_Aviva,0.104700176,0.073530012
BCL2L2_Abnova,-0.022742154,0.037133899
CEACAM1_Abnova,-0.01390224,0.029334683
SFTPB_Aviva,0.020057549,0.030577875
BMX_Abnova,0.055166291,0.178845188
MASP2_Aviva,0.031928308,0.042253639
CAPG_Abnova,-0.005362289,0.034545045
MARCO_Aviva,0.009437995,0.025981278
CAST_Abnova,0.009745392,0.034765307
LEP_Aviva,0.017249495,0.047858673
CD97_Abnova,-0.000906001,0.098234225
APOB_Aviva,0.032500674,0.03548551
AGT_Abnova,-0.079567614,0.103140339
FZD8_Aviva,0.038761604,0.040207879
ALDOB_Abnova,0.066946644,0.072358482
WNT7B_Aviva,-0.076796315,0.125285125
ANK1_Abnova,0.025967731,0.052918657
PPIG_Abnova,-0.067866618,0.250526846
LCN1_Aviva,-0.031756328,0.037185832
RIN1_Abnova,-0.020262299,0.042064879
LGALS3BP_Aviva,-0.023546357,0.023079993
CAP1_Abnova,0.081846676,0.176213454
PRDX5_Aviva,0.024181041,0.022262609
HEXIM1_Abnova,-0.061548782,0.068045852
TGOLN2_Abnova,0.050206436,0.043685399
AMPH_Aviva,-0.040845641,0.031658517
WISP2_Abnova,-0.064553807,0.080983005
JAK3_Aviva,0.010333561,0.02239561
IGFBP2_Aviva,0.09452338,0.052877947
RPS6KA5_Abnova,0.029884985,0.019053726
CTSD_Abnova,0.042958271,0.040448371
GDF15_Aviva,0.080401786,0.058202512
DEFA1_Abnova,0.026563874,0.019584941
KRT16_Aviva,0.062928858,0.032154306
CDC25A_Abnova,0.051967943,0.095514098
PON3_Aviva,-0.035681755,0.015854555
CDH1_Abnova,-0.033103832,0.116959999
C4B_Aviva,0.040368802,0.04205792
PTX3_Aviva,0.118428325,0.096458505
IL24_Abnova,0.03259539,0.017539344
SFRP2_Aviva,0.032903349,0.071373468
LILRA3_Abnova,-0.019753906,0.057721087
B2M_Aviva,-0.026233877,0.025167838
B3GNT6_Abnova,-0.007056499,0.028533214
RAB5A_Aviva,-0.013627592,0.011455572
SKG1_Aviva,0.049594069,0.150174123
CSNK1G1_Abnova,-0.006029903,0.043091762
PTK6_Aviva,0.021118284,0.082960133
PSENEN_Abnova,-0.015209651,0.046030355
RLN1_Aviva,-0.070346949,0.050270568
SEPT9_Abnova,0.066538058,0.023921731
STIP1_Abnova,-0.024043615,0.095242471
PRSS8_Aviva,-0.038031734,0.034188061
STIP1_Abnova,0.008823767,0.031141891
EPHA4_Abnova,0.03270555,0.011410115
GALNT1_Abnova,0.013484928,0.028160918
PSEN2_Aviva,0.031243474,0.032063524
GCK_Abnova,-0.095895875,0.143414455
GLI1_Abnova,-0.064985516,0.04973224
FAM3C_Aviva,-0.003741274,0.025024958
RGS18_Aviva,-0.066803649,0.055074708
ITGB8_Aviva,-0.013819857,0.043601577
GRN_Abnova,0.041585323,0.024338296
LSAMP_Aviva,0.053197708,0.052329695
GSTP1_Abnova,0.102234172,0.036958073
PTPN1_Aviva,-0.0565467,0.051539499
FBLN2_Abnova,-0.007828426,0.023352272
FGFR1_Abnova,-0.086745982,0.137615078
CCNB1_Aviva,-0.020928767,0.028008296
FOS_Abnova,0.032914588,0.198563153
CREBBP_Aviva,0.014228185,0.044511059
FRZB_Abnova,0.047304107,0.036196386
EGR1_Aviva,0.060337778,0.069909278
SIK1_Abnova,0.054283042,0.04661285
MUC3B_Aviva,0.059521424,0.04418187
CDK1_Aviva,-0.020347896,0.037766355
STC2_Abnova,0.022727858,0.016253237
FKBP2_Aviva,-0.078631174,0.033946558
SNX7_Aviva,0.060258372,0.042578229
LGALS1_Aviva,0.018764384,0.010623739
GAS7_Abnova,-0.033771085,0.104033986
GAPDH_Aviva,-0.007681635,0.015462932
NCK1_Abnova,-0.011739728,0.027956937
AZGP1_Aviva,0.099495157,0.080321311
RGS18_Abnova,-0.008527465,0.08854188
CNPY3_Aviva,0.037807113,0.023353401
INHBE_Abnova,0.040855315,0.043951013
WNT8B_Aviva,-0.049222002,0.011456895
PLXDC2_Abnova,0.056781498,0.066468516
LDHB_Abnova,0.00010833,0.076833796
GM2A_Aviva,0.000428312,0.040513842
DLGAP5_Aviva,-0.014412704,0.030919288
LRP5_Abnova,0.059022312,0.045332979
HES1_Abnova,0.060261043,0.074718508
ST3GAL1_Aviva,0.037019059,0.033039305
IL1RAP_Abnova,0.072171265,0.04332721
TGFB2_Aviva,0.014517744,0.016390716
ETS1_Abnova,-0.000113962,0.046458013
CD28_Aviva,0.055375349,0.044533964
E2F4 _Abnova,0.036371316,0.022172764
SELE_Aviva,0.01858303,0.033029324
FLT1_Abnova,0.041639902,0.017487689
VCP_Aviva,0.032961988,0.039679328
GALK1_Abnova,0.089522652,0.059711207
NME1 (NME1;NME2)_Aviva,-0.019736531,0.065953674
PLD1_Abnova,0.006255029,0.033626992
SIRPA_Aviva,-0.002730916,0.027146624
BMP6_Aviva,-0.001126833,0.01519741
ASCL1_Aviva,-0.040427114,0.040840319
CALR_Aviva,-0.032387586,0.043916775
YWHAB_Aviva,-0.047087234,0.021583725
AREG_Aviva,0.013510066,0.025597659
RIPK2_Aviva,0.028547822,0.013246676
GCNT1_Abnova,0.062049589,0.046779496
CASP1_Aviva,-0.08029417,0.038242573
AXL_Aviva,-0.012807188,0.047757192
PIN1_Abnova,0.020402416,0.046895849
NAP1L1_Abnova,0.066192146,0.032167704
ST6GALNAC1_Aviva,0.031208143,0.05000135
NUCB1_Abnova,0.040820742,0.021647435
YWHAZ_Aviva,0.021143734,0.032671463
NEUROG3_Abnova,0.016004961,0.031095708
CALML5_Abnova,0.048522026,0.138083932
PF4_Abnova,0.019442935,0.025810107
AK1_Aviva,0.157081282,0.588131994
PGAM1_Abnova,0.104269217,0.070046285
WNT6_Aviva,0.070341138,0.080617692
P4HB_Aviva,0.086705709,0.074268097
PGK1_Abnova,-0.160510872,0.171251705
CNN1_Aviva,0.062290907,0.039272368
ABCB1_Abnova,0.113100549,0.165338337
EEF1A1_Aviva,-0.018126638,0.049708592
LYVE1_Aviva,-0.005070247,0.015084179
NOTCH3_Abnova,0.080795405,0.192760699
NRG1_Aviva,0.010421773,0.02225286
NOV_Abnova,0.031034996,0.044816065
PODXL_Aviva,0.064745509,0.053006916
NTS_Abnova,0.060745236,0.060172946
INSR_Aviva,0.019134164,0.058441123
PDK2_Aviva,-0.041052934,0.024508368
JUN_Aviva,0.022476696,0.077365379
E2F1_Aviva,0.022580954,0.041178251
HOXC11_Aviva,0.081893909,0.043851584
ID2_Aviva,0.017242533,0.031830892
NFKB2_Aviva,0.009779289,0.049684681
CDC25C_Aviva,0.011413122,0.034624694
TBP_Aviva,0.028501647,0.010018862
NOTCH3_Aviva,0.079639563,0.0307788
FZD2 _Aviva,0.07061017,0.134949389
WNT1_Aviva,0.007831883,0.026236227
SIGLEC6 _Aviva,-0.002058275,0.048991476
FAS_Aviva,0.085259419,0.032871839
CXCR4_Aviva,-0.023030019,0.039528074
CDC25A_Aviva,0.045496054,0.086595626
IRF9_Aviva,0.00053481,0.05644362
CCNE2_Aviva,0.101494583,0.098658964
TFAM_Aviva,0.006608023,0.026197209
RALGDS_Abnova,0.091627972,0.082455428
CAP1_Aviva,0.006668554,0.02242171
RARB_Abnova,0.017716371,0.036375161
DSTN_Aviva,0.091877921,0.035540192
RBL1_Abnova,0.03675502,0.047109054
RGS10_Abnova,-0.005951475,0.052103354
PRDX1_Aviva,0.051863402,0.039989383
PLA2G4A_Abnova,-0.025080719,0.021844297
ENO3_Aviva,0.028975322,0.020789029
PRDX6_Aviva,0.022651591,0.118985486
PRKCA_Abnova,0.111756367,0.122931168
ATOH1_Aviva,0.053133721,0.029874998
ACAT1_Aviva,0.012109534,0.01994123
ASGR2_Aviva,-0.009347061,0.013444478
AMBP_Aviva,0.029957116,0.027705492
RGS12_Aviva,0.00608356,0.13455
CORO1A_Aviva,-0.006786364,0.011395512
MANSC1_Aviva,0.022457623,0.037966031
GOT2_Aviva,-0.079017635,0.053854851
ENO1_Aviva,0.032225809,0.044915797
