Protein,Delta,DeltaSquared
Plate1_A10_ALDOB_Aviva,0.011099924,0.063240128
Plate1_A11_APCS_Abnova,-0.11769797,0.164704193
Plate1_A12_SERPIND1_Aviva,0.042351094,0.038722099
Plate1_A13_BCL2L2_Abnova,0.049094045,0.223148481
Plate1_A15_CEACAM1_Abnova,0.078551798,0.076043962
Plate1_A16_SFTPB_Aviva,0.028489228,0.047635366
Plate1_A17_BMX_Abnova,0.014872006,0.068500596
Plate1_A18_MASP2_Aviva,0.072463129,0.059658396
Plate1_A19_CAPG_Abnova,0.023942445,0.057452718
Plate1_A20_MARCO_Aviva,0.021959691,0.043080296
Plate1_A21_CAST_Abnova,0.01660353,0.038648683
Plate1_A22_LEP_Aviva,0.012437853,0.083328406
Plate1_A23_CD97_Abnova,0.04357506,0.078196288
Plate1_A24_APOB_Aviva,0.074677348,0.043509679
Plate1_A3_AGT_Abnova,0.025929344,0.068694249
Plate1_A6_FZD8_Aviva,-0.010750615,0.088743991
Plate1_A7_ALDOB_Abnova,-0.086019671,0.065990781
Plate1_A8_WNT7B_Aviva,0.027963744,0.026959911
Plate1_A9_ANK1_Abnova,0.075151224,0.261069915
Plate1_B11_PPIG_Abnova,-0.05522813,0.151246773
Plate1_B12_LCN1_Aviva,0.035226925,0.031766684
Plate1_B15_RIN1_Abnova,0.036046287,0.260652991
Plate1_B17_ACTR3_Abnova,-0.022888489,0.149814154
Plate1_B18_LGALS3BP_Aviva,0.01310597,0.04130861
Plate1_B19_CAP1_Abnova,-0.144080388,0.131400442
Plate1_B20_PRDX5_Aviva,0.0371062,0.051055873
Plate1_B21_HEXIM1_Abnova,0.033145472,0.045718671
Plate1_B23_TGOLN2_Abnova,-0.029598061,0.202171993
Plate1_B24_AMPH_Aviva,0.010233366,0.042752959
Plate1_B3_WISP2_Abnova,-0.067932827,0.075867226
Plate1_B6_JAK3_Aviva,0.037685016,0.038563548
Plate1_B8_IGFBP2_Aviva,0.035018469,0.038053109
Plate1_B9_RPS6KA5_Abnova,-0.061250239,0.181615248
Plate1_C15_CTSD_Abnova,-0.00679916,0.022092134
Plate1_C16_GDF15_Aviva,0.011910767,0.055556488
Plate1_C17_DEFA1_Abnova,0.117398396,0.250484904
Plate1_C18_KRT16_Aviva,0.033104214,0.018857359
Plate1_C3_CDC25A_Abnova,-0.023739529,0.076713302
Plate1_C4_PON3_Aviva,0.032026475,0.087767605
Plate1_C5_CDH1_Abnova,-0.012650085,0.143696476
Plate1_C6_C4B_Aviva,0.018720266,0.039761248
Plate1_D10_PTX3_Aviva,0.093195293,0.122753801
Plate1_D11_IL24_Abnova,-0.077562573,0.074443076
Plate1_D12_SFRP2_Aviva,-0.00903656,0.022975778
Plate1_D13_LILRA3_Abnova,-0.028028511,0.057427439
Plate1_D14_B2M_Aviva,0.005361639,0.03621879
Plate1_D15_B3GNT6_Abnova,0.13528111,0.581814573
Plate1_D16_RAB1A_Aviva,0.007445157,0.026559634
Plate1_D18_RAB5A_Aviva,0.006551168,0.062294045
Plate1_D20_SKG1_Aviva,-0.00718499,0.126288095
Plate1_D21_CSNK1G1_Abnova,0.018803785,0.029008962
Plate1_D22_PTK6_Aviva,0.055459114,0.1271685
Plate1_D23_PSENEN_Abnova,-0.030103402,0.115167355
Plate1_D24_RLN1_Aviva,0.030868136,0.020237781
Plate1_D5_SEPT9_Abnova,-0.022980553,0.061988684
Plate1_D7_STIP1_Abnova,-0.005923861,0.067187507
Plate1_D8_PRSS8_Aviva,-0.02240838,0.081168914
Plate1_D9_STIP1_Abnova,0.058916125,0.038335776
Plate1_E1_EPHA4_Abnova,-0.052787256,0.171731746
Plate1_E10_PTCH1_Aviva,0.036730811,0.019898022
Plate1_E11_GALNT1_Abnova,-0.046643304,0.078871503
Plate1_E12_PSEN2_Aviva,0.037304189,0.040712697
Plate1_E13_GCK_Abnova,0.007037005,0.120876288
Plate1_E17_GLI1_Abnova,0.061661437,0.105010637
Plate1_E18_FAM3C_Aviva,0.029316109,0.025522824
Plate1_E19_GLI3_Abnova,0.02566484,0.1347931
Plate1_E2_RGS18_Aviva,0.012143702,0.062203294
Plate1_E20_ITGB8_Aviva,0.113989246,0.075299412
Plate1_E21_GRN_Abnova,0.074538638,0.077971991
Plate1_E22_LSAMP_Aviva,0.027720453,0.054335382
Plate1_E23_GSTP1_Abnova,-0.053948463,0.273621397
Plate1_E24_PTPN1_Aviva,-0.03498884,0.044032162
Plate1_E3_FBLN2_Abnova,0.150962559,0.342794922
Plate1_E5_FGFR1_Abnova,0.008632044,0.066372161
Plate1_E6_CCNB1_Aviva,0.075090452,0.067751533
Plate1_E7_FOS_Abnova,-0.014555998,0.052101098
Plate1_E8_CREBBP_Aviva,0.100808852,0.065106116
Plate1_E9_FRZB_Abnova,0.085513274,0.065268093
Plate1_F10_EGR1_Aviva,0.035032254,0.02054511
Plate1_F11_SIK1_Abnova,-0.037369781,0.059254974
Plate1_F12_MUC3B_Aviva,0.030588089,0.040344264
Plate1_F14_CDK1_Aviva,0.093289773,0.063936987
Plate1_F15_STC2_Abnova,0.010955538,0.088820301
Plate1_F17_ALDOA_Abnova,0.020322073,0.044062827
Plate1_F18_FKBP2_Aviva,-0.000280826,0.039772378
Plate1_F2_SNX7_Aviva,0.061983377,0.025546319
Plate1_F20_LGALS1_Aviva,0.078093302,0.074844265
Plate1_F21_GAS7_Abnova,-0.056104764,0.129589603
Plate1_F22_GAPDH_Aviva,0.091567315,0.048425474
Plate1_F23_NCK1_Abnova,0.045683503,0.050846742
Plate1_F24_AZGP1_Aviva,0.011258781,0.062237782
Plate1_F3_RGS18_Abnova,0.068766496,0.051179792
Plate1_F6_CNPY3_Aviva,0.002619302,0.036334964
Plate1_F7_INHBE_Abnova,0.023548937,0.050575652
Plate1_F8_WNT8B_Aviva,0.116262104,0.052495618
Plate1_F9_PLXDC2_Abnova,0.002335055,0.162813659
Plate1_G15_LDHB_Abnova,0.110847635,0.087821304
Plate1_G16_GM2A_Aviva,-0.019303103,0.119797419
Plate1_G18_DLGAP5_Aviva,0.096098464,0.048644917
Plate1_G19_LRP5_Abnova,-0.039957834,0.084118194
Plate1_G3_HES1_Abnova,-0.009029987,0.086018666
Plate1_G4_ST3GAL1_Aviva,0.024686925,0.066864994
Plate1_G5_IL1RAP_Abnova,-0.001499488,0.053242448
Plate1_G6_TGFB2_Aviva,0.075176851,0.045628075
Plate1_H1_ETS1_Abnova,0.039761124,0.037655057
Plate1_H10_CD28_Aviva,0.062312815,0.100288379
Plate1_H11_E2F4 _Abnova,-0.001836303,0.091392526
Plate1_H12_SELE_Aviva,0.010972171,0.019456733
Plate1_H13_FLT1_Abnova,-0.037176781,0.058007576
Plate1_H14_VCP_Aviva,0.01715438,0.024465629
Plate1_H15_GALK1_Abnova,-0.000968956,0.051388496
Plate1_H16_NME1 (NME1;NME2)_Aviva,0.057957701,0.046254906
Plate1_H17_PLD1_Abnova,0.132703906,0.067470374
Plate1_H18_SIRPA_Aviva,0.036913451,0.125020721
Plate1_H2_BMP6_Aviva,0.033865295,0.046787306
Plate1_H20_ASCL1_Aviva,0.104329928,0.076450673
Plate1_H21_CALR_Aviva,-0.020663218,0.075820964
Plate1_H22_YWHAB_Aviva,-0.057702594,0.099368678
Plate1_H23_AREG_Aviva,-0.015981819,0.069076759
Plate1_H24_RIPK2_Aviva,0.052879385,0.019428041
Plate1_H3_GCNT1_Abnova,-0.001446531,0.049297273
Plate1_H6_CASP1_Aviva,0.035128835,0.113864982
Plate1_H8_AXL_Aviva,0.013223321,0.023587349
Plate1_H9_PIN1_Abnova,0.00933399,0.07614821
Plate1_I1_NAP1L1_Abnova,0.103119448,0.137506665
Plate1_I10_ST6GALNAC1_Aviva,0.050545293,0.052770186
Plate1_I11_NUCB1_Abnova,0.172654587,0.983807254
Plate1_I12_YWHAZ_Aviva,0.061817009,0.043434741
Plate1_I13_NEUROG3_Abnova,0.108418136,0.075825746
Plate1_I15_CALML5_Abnova,0.053824756,0.057265735
Plate1_I17_PF4_Abnova,-0.099651988,0.173344933
Plate1_I18_AK1_Aviva,0.016737803,0.037627799
Plate1_I19_PGAM1_Abnova,0.037522869,0.100605306
Plate1_I2_WNT6_Aviva,0.03632825,0.072232537
Plate1_I20_P4HB_Aviva,0.046103053,0.031027019
Plate1_I21_PGK1_Abnova,0.088643408,0.268223328
Plate1_I22_CNN1_Aviva,0.103883154,0.044519121
Plate1_I23_ABCB1_Abnova,-0.006611523,0.108316573
Plate1_I24_EEF1A1_Aviva,0.102161326,0.096126952
Plate1_I4_LYVE1_Aviva,0.043134979,0.05701765
Plate1_I5_NOTCH3_Abnova,0.098999694,0.079204726
Plate1_I6_NRG1_Aviva,-0.046275853,0.057393917
Plate1_I7_NOV_Abnova,0.035914006,0.104604654
Plate1_I8_PODXL_Aviva,0.104889031,0.076687672
Plate1_I9_NTS_Abnova,-0.09276572,0.086221997
Plate1_J10_INSR_Aviva,0.062795194,0.040893394
Plate1_J11_PDK2_Aviva,-0.030366573,0.058351015
Plate1_J12_JUN_Aviva,0.068273471,0.046986956
Plate1_J14_E2F1_Aviva,0.068219984,0.039816437
Plate1_J15_HOXC11_Aviva,0.043681458,0.033763835
Plate1_J18_ID2_Aviva,0.051732115,0.119215738
Plate1_J19_NFKB2_Aviva,0.030564135,0.044075539
Plate1_J2_CDC25C_Aviva,0.08734853,0.051934366
Plate1_J20_TBP_Aviva,-0.013103974,0.04386914
Plate1_J21_NOTCH3_Aviva,0.062260227,0.117380602
Plate1_J22_FZD2 _Aviva,0.122640816,0.102932569
Plate1_J23_WNT1_Aviva,0.128653601,0.090047529
Plate1_J24_SIGLEC6 _Aviva,0.099399811,0.095514758
Plate1_J3_FAS_Aviva,0.033177992,0.067971109
Plate1_J5_CXCR4_Aviva,0.047671255,0.070316802
Plate1_J6_CDC25A_Aviva,-0.027686714,0.031193789
Plate1_J7_IRF9_Aviva,0.087577809,0.05543319
Plate1_J8_CCNE2_Aviva,0.112203381,0.072854439
Plate1_J9_TFAM_Aviva,0.074195961,0.129736486
Plate1_K15_RALGDS_Abnova,-0.015676244,0.048970821
Plate1_K16_CAP1_Aviva,0.016363529,0.029267767
Plate1_K17_RARB_Abnova,-0.014979557,0.062571393
Plate1_K18_DSTN_Aviva,0.023246159,0.044973639
Plate1_K19_RBL1_Abnova,-0.018353212,0.158462803
Plate1_K21_RGS10_Abnova,-0.019732855,0.096580301
Plate1_K24_PRDX1_Aviva,0.047678943,0.043222717
Plate1_K3_PLA2G4A_Abnova,0.052154033,0.049158132
Plate1_K4_ENO3_Aviva,0.034572584,0.044624851
Plate1_K6_PRDX6_Aviva,0.064041803,0.038105558
Plate1_K7_PRKCA_Abnova,0.058694976,0.33471372
Plate1_L1_ATOH1_Aviva,0.046182488,0.02200846
Plate1_L10_ACAT1_Aviva,0.066936955,0.086290975
Plate1_L11_ASGR2_Aviva,-0.064222253,0.158845905
Plate1_L12_AMBP_Aviva,0.051769907,0.067672839
Plate1_L13_RGS12_Aviva,0.067807634,0.036129691
Plate1_L14_CORO1A_Aviva,0.021526114,0.074941399
Plate1_L15_MANSC1_Aviva,0.044392477,0.03860092
Plate1_L16_GOT2_Aviva,0.060189085,0.042273645
Plate1_L17_ENO1_Aviva,0.027076723,0.094041441
Plate1_L18_HNRNPU_Aviva,0.031108676,0.059944583
Plate1_L19_ZYX_Aviva,0.040411035,0.04411509
Plate1_L2_G6PD_Aviva,0.021322227,0.044267798
Plate1_L20_LOXL1_Aviva,0.033893183,0.037271709
Plate1_L21_CSRP1_Aviva,0.026787069,0.073256285
Plate1_L22_MDH2_Aviva,0.009617387,0.044506547
Plate1_L23_TCF7_Aviva,0.040066381,0.053494837
Plate1_L24_PDLIM5_Aviva,0.040833048,0.066613337
Plate1_L3_LEF1_Aviva,-0.001693413,0.056234996
Plate1_L4_GAPDH_Aviva,0.038038336,0.039194911
Plate1_L5_NCOR2_Aviva,0.068920726,0.05557556
Plate1_L6_KLK10_Aviva,0.030037381,0.045869036
Plate1_L7_PTK2B_Aviva,0.043828876,0.025240816
Plate1_L8_EEA1_Aviva,0.041785061,0.05725931
Plate1_L9_PPARA_Aviva,0.100026505,0.10655175
Plate1_M10_C1GALT1_Aviva,-0.03118501,0.050925507
Plate1_M11_TIMP1_Abnova,0.007556466,0.120723187
Plate1_M12_GAL3ST3_Aviva,0.117744043,0.050080679
Plate1_M13_TIMP2_Abnova,-0.008085912,0.101544837
Plate1_M17_PHLDA2_Abnova,0.095690327,0.117585088
Plate1_M19_TTR_Abnova,-0.099423552,0.071647495
Plate1_M20_PYGO2_Aviva,-0.040417297,0.147215584
Plate1_M22_ABCB1_Aviva,0.014516719,0.016815997
Plate1_M23_VCP_Abnova,0.050296318,0.080135304
Plate1_M24_PPIA_Aviva,0.056146083,0.043349652
Plate1_M5_ST13_Abnova,0.008424116,0.099413534
Plate1_M8_DLL4_Aviva,-0.051636331,0.039566829
Plate1_M9_TFF3_Abnova,0.000365492,0.154702708
Plate1_N10_CDH5_LSBio,-0.033936737,0.0468474
Plate1_N11_RARG_Aviva,0.036927753,0.133324722
Plate1_N12_COL18A1_LSBio,0.068580766,0.051087853
Plate1_N14_CTGF_LSBio,-0.062604962,0.027826263
Plate1_N15_TANK_Aviva,0.111929274,0.044317828
Plate1_N17_MECP2_Aviva,0.085774639,0.060222051
Plate1_N18_HLA-A/HLA-B/HLA-C_LSBio,0.072741708,0.222780242
Plate1_N19_XBP1_Aviva,-0.008809635,0.087395274
Plate1_N2_SCP2_Aviva,0.055098073,0.035211438
Plate1_N20_SERPINB5_LSBio,0.074792403,0.049907021
Plate1_N21_MEF2A_Aviva,0.062177529,0.055133875
Plate1_N22_THBS1_LSBio,-0.247145034,0.267521874
Plate1_N23_NOTCH1_Aviva,0.064169488,0.097854361
Plate1_N24_THBS1_LSBio,-0.285135218,0.337957777
Plate1_N3_MTA2_Aviva,0.031228853,0.054858595
Plate1_N7_MCM2_Aviva,0.119240315,0.079355229
Plate1_N8_BCL3_LSBio,-0.004706853,0.053631288
Plate1_N9_WT1_Aviva,0.009621742,0.04483087
Plate1_O1_VWF_Abnova,-0.023235311,0.025387347
Plate1_O11_MAPKAPK3_Abnova,0.000728884,0.089685281
Plate1_O12_CNN2_Aviva,0.044450221,0.029980171
Plate1_O15_FZD3_Abnova,0.029097678,0.034422236
Plate1_O16_CTTN_Aviva,-0.016205476,0.027416159
Plate1_O17_EIF3A_Abnova,-0.043573858,0.052254396
Plate1_O18_FSTL1_Aviva,0.09099717,0.073694479
Plate1_O19_SNX3_Abnova,0.027160861,0.090548344
Plate1_O21_CRADD_Abnova,-0.042300474,0.323461742
Plate1_O23_TNFSF9_Abnova,0.008913914,0.048387482
Plate1_O24_LRG1_Aviva,0.120925765,0.061530502
Plate1_O3_ZIC3_Abnova,-0.030035982,0.148264686
Plate1_O4_CSNK1A1_Aviva,0.047040145,0.070913279
Plate1_O5_PXDN_Abnova,-0.114763803,0.072531618
Plate1_O6_CPN1_Aviva,0.030683483,0.052249165
Plate1_O7_FZD5_Abnova,0.022551385,0.117032035
Plate1_O9_MAPKAPK3_Abnova,-0.063316618,0.085538986
Plate1_P1_METTL3_Aviva,0.077070937,0.042499311
Plate1_P10_DGCR6_ProSci,0.065107821,0.124398119
Plate1_P11_KHDRBS3_Aviva,0.137992721,0.053991516
Plate1_P12_NDUFA10_ProSci,0.051457158,0.136071382
Plate1_P13_EIF4H_Aviva,0.091693643,0.045916674
Plate1_P14_Empty well_Empty,-0.059363526,0.070473466
Plate1_P15_WNT10B_Aviva,0.019398509,0.03025277
Plate1_P16_ERBB2_R&D,0.014277471,0.082243355
Plate1_P17_FZD6_Aviva,-0.00022711,0.042601408
Plate1_P18_THBS4_R&D,0.017617232,0.06551058
Plate1_P19_FZD7_Aviva,0.02258457,0.045403659
Plate1_P2_AZGP1_MyBio,-0.045617931,0.03360644
Plate1_P20_TLR2_R&D,-1.36E-05,0.112689093
Plate1_P21_FZD10_Aviva,-0.031485439,0.041933552
Plate1_P22_PRDX6_R&D,0.007511674,0.140840376
Plate1_P23_FZD4_Aviva,0.07720977,0.058713589
Plate1_P24_SPRED1_R&D,0.056661933,0.134452965
Plate1_P3_RXRB_Aviva,0.112667618,0.133885253
Plate1_P4_COMP_MyBio,0.028777735,0.01871878
Plate1_P5_NFATC1_Aviva,0.066093128,0.059516904
Plate1_P6_COMP_MyBio,-0.051205162,0.09343497
Plate1_P7_ACTB_Aviva,-0.002877202,0.027616317
Plate1_P8_UBC_Novus,-0.019060476,0.091003507
Plate1_P9_RARA_Aviva,0.088991895,0.071443955
Plate10_A1_DCD_Santa,-0.013577351,0.047617452
Plate10_A13_SIN3A_Santa,-0.099450291,0.059624435
Plate10_A14_SFRS3_Abcam,-0.126277266,0.107155741
Plate10_A15_SIN3A_Abcam,-0.052104908,0.111052577
Plate10_A17_PTPRM_Santa,0.064855904,0.119957811
Plate10_A18_SSB_Sigma,-0.068275591,0.230724559
Plate10_A19_PTPRM_Santa,-0.000400314,0.106080655
Plate10_A20_EIF5A_PTG,-0.008125785,0.138019299
Plate10_A21_GPANK1 (BAT4)_Santa,0.049885048,0.055977481
Plate10_A24_SLIRP_Abcam,0.116949771,0.097750387
Plate10_A4_G3BP1_Abnova,-0.090788871,0.189684773
Plate10_A5_DCD_Santa,0.003181879,0.13489576
Plate10_A6_HIST1H1D_Abcam,-0.061468846,0.205423426
Plate10_A7_DCD_Santa,0.013609639,0.131659916
Plate10_A8_CSRP1_Abcam,-0.035823416,0.131438951
Plate10_A9_DCD_Santa,0.080979135,0.07933665
Plate10_B10_TP73_Santa,0.04148788,0.126218603
Plate10_B11_TLR2_Abcam,0.140696007,0.13288466
Plate10_B12_Cdkn2a_Santa,-0.050335639,0.091592839
Plate10_B13_GPANK1(BAT4)_Abnova,-0.003401903,0.081339784
Plate10_B14_Cdkn2a_Santa,0.038323392,0.025075538
Plate10_B15_GPANK1(BAT4)_Abcam,-0.029358431,0.108567267
Plate10_B16_NRN1_Santa,-0.04498702,0.059048816
Plate10_B17_PRG2_Abcam,-0.094049687,0.216463949
Plate10_B18_RUNX3_Santa,-0.110142255,0.073270613
Plate10_B19_PRG2_Abnova,-0.014877855,0.093678666
Plate10_B20_CLDN18_Santa,0.006093478,0.040490561
Plate10_B23_PPP2CA_CSignal,-0.075379048,0.079299636
Plate10_B24_MKI67_ABcam,-0.039292214,0.066732036
Plate10_B3_TSG101_Santa,0.006822299,0.044184644
Plate10_B4_PDIA3_Santa,-0.022840046,0.021981151
Plate10_B5_SKP2_Santa,-0.079966367,0.173690681
Plate10_B8_TP63_Santa,-0.028492649,0.094914482
Plate10_C1_USF1_Santa,-0.066296843,0.067615721
Plate10_C10_CAPN3 (NCL1)_Sigma,-0.012355099,0.034811411
Plate10_C11_Hif3a_Santa,-0.096291955,0.186518277
Plate10_C12_CD59_Abcam,0.242620512,0.41470241
Plate10_C13_HIF3A_Santa,-0.110509802,0.096499189
Plate10_C14_SRSF1 (SF2)_Abcam,-0.013748953,0.048858048
Plate10_C15_HIF1A_Santa,-0.103330777,0.102932353
Plate10_C16_TPI1_Abcam,0.007997711,0.123395318
Plate10_C17_HIF1A_Santa,-0.047018409,0.041222297
Plate10_C18_RALY_Abcam,-0.029904852,0.022233926
Plate10_C19_HIF1A_Santa,0.025785121,0.096407174
Plate10_C2_CD44_Abcam,-0.0169174,0.072476581
Plate10_C20_HSPB1_PTG,-0.055303675,0.069543722
Plate10_C21_TTR_Dako,-0.001631644,0.123699362
Plate10_C22_PDIA3 (ERp57)_Enzo,0.00974782,0.050339941
Plate10_C23_MYC_Santa,-0.001888401,0.082508378
Plate10_C24_ILK_Sigma,-0.061044229,0.114353296
Plate10_C3_USF1_Santa,-0.099963069,0.050480025
Plate10_C4_CSRP1_Abcam,-0.025486787,0.118969019
Plate10_C5_MAP3K3_Santa,-0.028020234,0.061978784
Plate10_C6_HNRPA2B1_Abnova,-0.014909668,0.020991218
Plate10_C7_MAP3K3_Santa,-0.037121789,0.037276602
Plate10_C8_CSRP1_PTG,-0.044815072,0.071918414
Plate10_C9_MAP3K3_Santa,0.033500979,0.075330989
Plate10_D10_CRB3 _Santa,-0.080776017,0.239688619
Plate10_D11_IGFBP2_R&D,-0.084011089,0.253308099
Plate10_D14_CRP1 _Santa,-0.051004133,0.079434612
Plate10_D15_S100A11_Epitomics,-0.048600085,0.024200669
Plate10_D16_ARP _Santa,-0.017797957,0.071798434
Plate10_D18_TAGLN2 _Santa,-0.07302033,0.14010742
Plate10_D19_LY6D_Abnova,-0.035559331,0.145712361
Plate10_D2_HIST1H1E_Upstate,0.020916104,0.127517767
Plate10_D20_TAGLN2_Santa,-0.014309415,0.080038225
Plate10_D21_ALDH1A3_Abgent,0.056222622,0.046119889
Plate10_D22_FETUB _Santa,-0.117750419,0.173756013
Plate10_D3_P4C8_Lampe_LampeLab,0.172033093,0.214183678
Plate10_D4_CA2_Abcam,-0.006760909,0.040528703
Plate10_D6_CRB3 _Santa,-0.042432926,0.104597947
Plate10_D7_S100A11_Abnova,0.057576614,0.058344141
Plate10_D8_CRB3 _Santa,-0.008361747,0.08280779
Plate10_D9_A1BG_Hanash_Inhouse,-0.048661711,0.110452478
Plate10_E1_MYC_Santa,-0.096496186,0.146857172
Plate10_E10_ILK_Abcam,-0.099184805,0.236532523
Plate10_E12_Cy3 (not a gene)_Santa,-0.160383541,0.104637004
Plate10_E2_HNRPAB_Genway,-0.01185762,0.069803174
Plate10_E3_MAPK7_Santa,-0.052809198,0.097907501
Plate10_E4_ILK_PIERCE,0.037069256,0.135646821
Plate10_E6_GAR1 (NOLA1)_PTG,-0.037379243,0.219210824
Plate10_E8_TXN _Abgent,0.161927108,0.371818471
Plate10_E9_ANXA5_Santa,0.008894625,0.091307661
Plate10_F1_F7_Sigma,-0.059009744,0.079842944
Plate10_F12_P4D1_Lampe_Lampe lab,-0.209091371,0.212526751
Plate10_F2_MED12_Santa,-0.058369185,0.036068656
Plate10_F3_ILK_Sigma,-0.036282929,0.070320317
Plate10_F4_MED12_Santa,-0.051600614,0.071691953
Plate10_F6_PRKCSH _Santa,-0.055682011,0.117733987
Plate10_F7_VCL_Sigma,-0.191720999,0.194226928
Plate10_F8_PRKCSH  _Santa,0.006266929,0.028273541
Plate10_G1_CTSD_CalBio,-0.195274423,0.294970785
Plate10_G10_PARP1_Sigma,-0.067063488,0.128397998
Plate10_G11_GJA1 (ser255)_Santa,-0.130746931,0.082186065
Plate10_G2_RANBP1_ABcam,0.081323625,0.061225041
Plate10_G3_Cx43NT1_LampeLab,-0.128472769,0.06562413
Plate10_G4_PDLIM1_ABnova,0.018897137,0.146512125
Plate10_G6_ORM1_Abnova,0.009054855,0.015097555
Plate10_G7_GJA1(pS373)_LampeLab,-0.027573715,0.077773542
Plate10_G8_CTSD_R&D,-0.025487604,0.094534662
Plate10_G9_GJA1 (ser262)_Santa,-0.019117771,0.157136139
Plate10_H1_ZYX_Sigma,-0.018072291,0.064023962
Plate10_H11_AHNAK_Abcam,-0.089354302,0.289557876
Plate10_H2_ATF3_Santa,-0.014986158,0.044849569
Plate10_H4_Empty_Empty,-0.060169191,0.039513215
Plate10_H6_Empty_Empty,-0.031018552,0.13346042
Plate10_H7_RPLP2_Abgent,0.006933033,0.124374043
Plate10_H8_Empty_Empty,-0.073326433,0.124629837
Plate10_H9_ILK_Abgent,0.034030567,0.038932649
Plate2_A1_PTPN14_R&D,0.004417573,0.125765948
Plate2_A10_IGFBP1_Abcam,0.079766305,0.104493941
Plate2_A11_RET_R&D,0.010923448,0.034299739
Plate2_A12_IL18RAP_Abcam,-0.02911162,0.263487453
Plate2_A13_STX7_R&D,0.156265222,0.292289946
Plate2_A14_IL6_Abcam,0.068346531,0.107537257
Plate2_A17_GLI2_R&D,0.113028315,0.095225002
Plate2_A18_IRF9_Abcam,0.081708062,0.132110345
Plate2_A19_RTN4RL2_R&D,0.066390455,0.131030032
Plate2_A20_ITGA1_Abcam,-0.039234616,0.059801341
Plate2_A21_STAT5A_R&D,0.100664104,0.091330781
Plate2_A22_ITGA5 _Abcam,-0.035836999,0.050098025
Plate2_A23_SFRP1_R&D,0.153371502,0.156660692
Plate2_A24_ITGB3_Abcam,0.023100323,0.119538542
Plate2_A5_JAK3_R&D,0.162784074,0.135910803
Plate2_A6_ICAM2_Abcam,0.015557983,0.123976526
Plate2_A7_RELB_R&D,0.158704217,0.087096745
Plate2_A8_IFNGR1_Abcam,0.026445309,0.157380003
Plate2_A9_ROBO4_R&D,0.059120545,0.113298557
Plate2_B1_MMP-7_R&D,0.086991628,0.035729638
Plate2_B10_BMP7_AbD,0.07798613,0.055141326
Plate2_B11_COL4A3_Santa,-0.08700968,0.122367345
Plate2_B12_PLAUR_AbD,0.103165872,0.14749411
Plate2_B13_COL5A1_Santa,0.046108306,0.213423737
Plate2_B14_MUC17_AbD,0.031039929,0.075266916
Plate2_B15_COL5A3_Santa,-0.015683881,0.097783319
Plate2_B16_KSR1_AbD,0.051028796,0.110759716
Plate2_B18_KRT7_AbD,-0.00042256,0.152721306
Plate2_B19_LAMB1_Santa,-0.006507097,0.054826729
Plate2_B20_LILRB3_AbD,-0.012218576,0.032898533
Plate2_B21_CDKN2B_Santa,-0.081972375,0.150460615
Plate2_B22_GP1BA_AbD,0.030320729,0.082090677
Plate2_B23_CDKN2B_Santa,-0.224734819,0.222261586
Plate2_B24_LRP1_AbD,0.05269001,0.203336105
