Protein,Delta,DeltaSquared
ALDOB_Aviva,-0.036291723,0.040055283
APCS_Abnova,0.063577552,0.150811366
SERPIND1_Aviva,0.091416444,0.060372713
BCL2L2_Abnova,-0.058226764,0.05249176
CEACAM1_Abnova,0.057144521,0.049327601
SFTPB_Aviva,0.020518962,0.031786496
BMX_Abnova,0.013244983,0.135961474
MASP2_Aviva,0.067106324,0.055424147
CAPG_Abnova,-0.036869255,0.032435786
MARCO_Aviva,0.013547766,0.021603389
CAST_Abnova,0.03242773,0.036802208
LEP_Aviva,0.023638149,0.074971134
CD97_Abnova,0.059520233,0.057777041
APOB_Aviva,0.068283011,0.048783051
AGT_Abnova,-0.054440684,0.115359611
FZD8_Aviva,0.003369338,0.049962628
ALDOB_Abnova,0.00235175,0.068805456
WNT7B_Aviva,-0.119936976,0.149341315
ANK1_Abnova,0.02638982,0.041195166
PPIG_Abnova,-0.007636927,0.211999984
LCN1_Aviva,0.005619493,0.037670838
RIN1_Abnova,-0.07034642,0.135123068
LGALS3BP_Aviva,0.00214786,0.035214778
CAP1_Abnova,0.109263105,0.189360021
PRDX5_Aviva,0.053422102,0.03831603
HEXIM1_Abnova,-0.110285293,0.124136212
TGOLN2_Abnova,0.031708323,0.047172619
AMPH_Aviva,-0.023813222,0.026278543
WISP2_Abnova,-0.055962257,0.18106487
JAK3_Aviva,0.021598423,0.02303726
IGFBP2_Aviva,0.081422482,0.05138797
RPS6KA5_Abnova,0.043324258,0.036837727
CTSD_Abnova,0.038877293,0.040044552
GDF15_Aviva,-0.00332419,0.111537634
DEFA1_Abnova,0.046011751,0.017083206
KRT16_Aviva,0.061160945,0.040989195
CDC25A_Abnova,0.132394366,0.245546172
PON3_Aviva,0.006280207,0.027352586
CDH1_Abnova,0.009782195,0.108624803
C4B_Aviva,0.060553632,0.05870634
PTX3_Aviva,0.104072174,0.097975652
IL24_Abnova,0.038213499,0.031835894
SFRP2_Aviva,0.057994691,0.123838123
LILRA3_Abnova,-0.018685131,0.085961385
B2M_Aviva,-0.032067677,0.028709041
B3GNT6_Abnova,0.017709101,0.047854102
RAB5A_Aviva,-0.013465696,0.036770573
SKG1_Aviva,0.035714579,0.154869238
CSNK1G1_Abnova,-0.021330087,0.0624566
PTK6_Aviva,0.084162555,0.100138445
PSENEN_Abnova,0.013135033,0.102324709
RLN1_Aviva,-0.050420233,0.041627207
SEPT9_Abnova,0.090293855,0.111951056
STIP1_Abnova,-0.054231407,0.106466069
PRSS8_Aviva,-0.03342992,0.01830631
STIP1_Abnova,0.008560273,0.061643326
EPHA4_Abnova,0.016491723,0.060033159
GALNT1_Abnova,0.022830371,0.047129911
PSEN2_Aviva,-0.005105382,0.044732659
GCK_Abnova,-0.09286731,0.12396347
GLI1_Abnova,-0.029803263,0.040085289
FAM3C_Aviva,0.033651345,0.021048312
RGS18_Aviva,-0.050358171,0.07679725
ITGB8_Aviva,0.061361261,0.054120425
GRN_Abnova,0.058347752,0.031330707
LSAMP_Aviva,0.057743531,0.073202156
GSTP1_Abnova,0.120719053,0.07537345
PTPN1_Aviva,0.003122871,0.066037352
FBLN2_Abnova,0.013113722,0.054110534
FGFR1_Abnova,-0.091452055,0.142294772
CCNB1_Aviva,-0.005092766,0.04319648
FOS_Abnova,0.107961922,0.34909764
CREBBP_Aviva,0.031900751,0.055479002
FRZB_Abnova,0.0245757,0.056985478
EGR1_Aviva,0.052686335,0.060903666
SIK1_Abnova,0.022521427,0.065454136
MUC3B_Aviva,0.070205608,0.057628228
CDK1_Aviva,0.020801011,0.043562899
STC2_Abnova,0.004295574,0.015640726
FKBP2_Aviva,-0.066721731,0.044572204
SNX7_Aviva,0.045171785,0.036940328
LGALS1_Aviva,0.056004847,0.048049013
GAS7_Abnova,-0.014550715,0.103366632
GAPDH_Aviva,0.005868169,0.031555051
NCK1_Abnova,0.024969504,0.024715055
AZGP1_Aviva,0.068359697,0.074117935
RGS18_Abnova,-0.042309847,0.122645462
CNPY3_Aviva,0.035594207,0.03465189
INHBE_Abnova,0.060913905,0.054766974
WNT8B_Aviva,-0.04462522,0.054776336
PLXDC2_Abnova,0.059633499,0.043433061
LDHB_Abnova,-0.004407577,0.066362116
GM2A_Aviva,0.049061338,0.04368546
DLGAP5_Aviva,-0.023617275,0.043986798
LRP5_Abnova,0.062146503,0.04665351
HES1_Abnova,0.028530297,0.100739135
ST3GAL1_Aviva,0.07283446,0.025991921
IL1RAP_Abnova,0.067392727,0.0413036
TGFB2_Aviva,0.034868436,0.027415883
ETS1_Abnova,0.011130557,0.056667443
CD28_Aviva,0.020585611,0.075607635
E2F4 _Abnova,0.050571727,0.058986053
SELE_Aviva,0.048936223,0.048427112
FLT1_Abnova,0.068634675,0.030343259
VCP_Aviva,0.025817173,0.0275486
GALK1_Abnova,0.107704185,0.088783255
NME1 (NME1;NME2)_Aviva,-0.002048144,0.095781512
PLD1_Abnova,0.012396449,0.027826151
SIRPA_Aviva,-0.023610188,0.065495383
BMP6_Aviva,0.019213058,0.019546549
ASCL1_Aviva,0.001437876,0.044107124
CALR_Aviva,0.029841828,0.035595868
