Protein,Delta,DeltaSquared
Plate1_A10_ALDOB_Aviva,-0.026015257,0.010716144
Plate1_A11_APCS_Abnova,0.151372554,0.115275106
Plate1_A12_SERPIND1_Aviva,0.098127981,0.064369112
Plate1_A13_BCL2L2_Abnova,-0.012960075,0.037805735
Plate1_A15_CEACAM1_Abnova,0.015632648,0.023242976
Plate1_A16_SFTPB_Aviva,0.02459195,0.021455709
Plate1_A17_BMX_Abnova,-0.002383518,0.161179575
Plate1_A18_MASP2_Aviva,0.027798212,0.047416703
Plate1_A19_CAPG_Abnova,-0.003824664,0.029090779
Plate1_A20_MARCO_Aviva,0.01062859,0.015498356
Plate1_A21_CAST_Abnova,0.06235248,0.03364806
Plate1_A22_LEP_Aviva,-0.001609498,0.043491978
Plate1_A23_CD97_Abnova,0.097678398,0.053792942
Plate1_A24_APOB_Aviva,0.037784229,0.041756821
Plate1_A3_AGT_Abnova,-0.06574067,0.125875913
Plate1_A4_WNT2B_Aviva,0.033008351,0.048774443
Plate1_A6_FZD8_Aviva,0.023164038,0.052185397
Plate1_A7_ALDOB_Abnova,-0.104380764,0.172219985
Plate1_A8_WNT7B_Aviva,0.029938786,0.045995701
Plate1_A9_ANK1_Abnova,-0.036651397,0.215377406
Plate1_B10_GNB1_Aviva,-0.035813554,0.026953956
Plate1_B11_PPIG_Abnova,-0.022255843,0.030766783
Plate1_B12_LCN1_Aviva,0.009797908,0.018600094
Plate1_B15_RIN1_Abnova,0.108872112,0.164998503
Plate1_B18_LGALS3BP_Aviva,0.042292342,0.026542778
Plate1_B19_CAP1_Abnova,-0.054001206,0.070074848
Plate1_B20_PRDX5_Aviva,0.018352875,0.048922754
Plate1_B21_HEXIM1_Abnova,-0.009557121,0.024370118
Plate1_B23_TGOLN2_Abnova,0.038595726,0.059484729
Plate1_B24_AMPH_Aviva,0.025893297,0.021451966
Plate1_B3_WISP2_Abnova,0.132303442,0.040994039
Plate1_B6_JAK3_Aviva,0.030720106,0.024604404
Plate1_B8_IGFBP2_Aviva,0.012334886,0.038920456
Plate1_B9_RPS6KA5_Abnova,0.075350034,0.050889826
Plate1_C15_CTSD_Abnova,0.061350961,0.014516271
Plate1_C16_GDF15_Aviva,0.061887979,0.026267613
Plate1_C17_DEFA1_Abnova,0.019269445,0.095792845
Plate1_C18_KRT16_Aviva,-0.031899436,0.017951448
Plate1_C3_CDC25A_Abnova,-0.009400213,0.118644177
Plate1_C4_PON3_Aviva,0.034024415,0.047274728
Plate1_C5_CDH1_Abnova,0.121994551,0.090300206
Plate1_C6_C4B_Aviva,0.033823394,0.016766336
Plate1_D10_PTX3_Aviva,-0.02364305,0.07063807
Plate1_D11_IL24_Abnova,0.036782354,0.051129058
Plate1_D12_SFRP2_Aviva,-0.046386254,0.032259326
Plate1_D13_LILRA3_Abnova,0.014779068,0.035078985
Plate1_D14_B2M_Aviva,-0.032810776,0.015028162
Plate1_D15_B3GNT6_Abnova,-0.006290574,0.139294057
Plate1_D18_RAB5A_Aviva,0.012779869,0.049982047
Plate1_D2_PEPD_Aviva,0.083162749,0.087020862
Plate1_D20_SKG1_Aviva,-0.005177879,0.040239422
Plate1_D21_CSNK1G1_Abnova,-0.053877577,0.053479
Plate1_D22_PTK6_Aviva,0.076956506,0.025215009
Plate1_D23_PSENEN_Abnova,-0.042812951,0.098410754
Plate1_D24_RLN1_Aviva,-0.035666067,0.017855205
Plate1_D5_SEPT9_Abnova,0.003546633,0.034851937
Plate1_D7_STIP1_Abnova,0.021793424,0.008196942
Plate1_D8_PRSS8_Aviva,0.04595137,0.030417624
Plate1_D9_STIP1_Abnova,-0.014988689,0.031569084
Plate1_E1_EPHA4_Abnova,-0.103060076,0.13247293
Plate1_E11_GALNT1_Abnova,0.001078073,0.030692812
Plate1_E12_PSEN2_Aviva,0.020361717,0.015787376
Plate1_E13_GCK_Abnova,-0.062492675,0.052765659
Plate1_E17_GLI1_Abnova,0.042453266,0.023868963
Plate1_E18_FAM3C_Aviva,0.058189087,0.022501053
Plate1_E2_RGS18_Aviva,0.047639197,0.063035428
Plate1_E20_ITGB8_Aviva,0.090183839,0.030933362
Plate1_E21_GRN_Abnova,-0.01208909,0.040244238
Plate1_E22_LSAMP_Aviva,-0.005214687,0.020145893
Plate1_E23_GSTP1_Abnova,-0.113266547,0.063185537
Plate1_E24_PTPN1_Aviva,0.044363185,0.016449543
Plate1_E3_FBLN2_Abnova,0.021233837,0.217128509
Plate1_E4_SP1_Aviva,0.041718573,0.056193462
Plate1_E5_FGFR1_Abnova,0.036672201,0.037500969
Plate1_E6_CCNB1_Aviva,0.038753254,0.054273133
Plate1_E7_FOS_Abnova,0.042999657,0.055935267
Plate1_E8_CREBBP_Aviva,0.041791573,0.03114846
Plate1_E9_FRZB_Abnova,-0.026217814,0.025724528
Plate1_F10_EGR1_Aviva,0.007375542,0.016368141
Plate1_F11_SIK1_Abnova,-0.045037924,0.018934708
Plate1_F12_MUC3B_Aviva,0.034373449,0.033603779
Plate1_F14_CDK1_Aviva,0.003733675,0.009370019
Plate1_F15_STC2_Abnova,0.007042387,0.115017261
Plate1_F18_FKBP2_Aviva,-0.003726767,0.01080387
Plate1_F2_SNX7_Aviva,-0.009940144,0.027806354
Plate1_F20_LGALS1_Aviva,0.038126795,0.070644423
Plate1_F21_GAS7_Abnova,-0.016870131,0.102589705
Plate1_F22_GAPDH_Aviva,0.040950313,0.018935325
Plate1_F23_NCK1_Abnova,0.070849556,0.055007617
Plate1_F24_AZGP1_Aviva,-0.051916151,0.011987785
Plate1_F3_RGS18_Abnova,0.057217718,0.047626656
Plate1_F5_ARAP3_Abnova,0.040885721,0.055246615
Plate1_F6_CNPY3_Aviva,0.040046971,0.042578461
Plate1_F7_INHBE_Abnova,0.011859697,0.038753191
Plate1_F8_WNT8B_Aviva,0.022855348,0.021436058
Plate1_F9_PLXDC2_Abnova,0.061647002,0.070613302
Plate1_G15_LDHB_Abnova,0.058723845,0.016672766
Plate1_G16_GM2A_Aviva,0.064932506,0.03360812
Plate1_G18_DLGAP5_Aviva,-0.00797224,0.0132222
Plate1_G19_LRP5_Abnova,0.018326095,0.037018483
Plate1_G3_HES1_Abnova,0.088842719,0.039931565
Plate1_G4_ST3GAL1_Aviva,0.023515819,0.025019019
Plate1_G5_IL1RAP_Abnova,0.063642505,0.037238436
Plate1_G6_TGFB2_Aviva,0.051851565,0.016914689
Plate1_H1_ETS1_Abnova,0.044045939,0.029881439
Plate1_H10_CD28_Aviva,0.075344774,0.035494603
Plate1_H11_E2F4 _Abnova,0.058734947,0.063279767
Plate1_H12_SELE_Aviva,0.011690722,0.024574869
Plate1_H13_FLT1_Abnova,0.024268568,0.027179419
Plate1_H14_VCP_Aviva,-0.006952499,0.016617187
Plate1_H15_GALK1_Abnova,0.032247796,0.020169304
Plate1_H16_NME1 (NME1;NME2)_Aviva,0.002978295,0.016909141
Plate1_H17_PLD1_Abnova,-0.041295665,0.020577319
Plate1_H18_SIRPA_Aviva,0.036386282,0.02179635
Plate1_H2_BMP6_Aviva,0.034700849,0.015674419
Plate1_H20_ASCL1_Aviva,0.096042829,0.047991913
Plate1_H21_CALR_Aviva,-0.065597581,0.040498506
Plate1_H22_YWHAB_Aviva,-0.032228145,0.037337307
Plate1_H23_AREG_Aviva,-0.01222356,0.046157163
Plate1_H24_RIPK2_Aviva,0.087337977,0.044910669
Plate1_H3_GCNT1_Abnova,0.048439554,0.054457416
Plate1_H6_CASP1_Aviva,0.046171662,0.02338976
Plate1_H8_AXL_Aviva,0.030642248,0.037350062
Plate1_H9_PIN1_Abnova,0.073954383,0.032364167
Plate1_I1_NAP1L1_Abnova,0.055349493,0.178398399
Plate1_I10_ST6GALNAC1_Aviva,-0.018647997,0.015218958
Plate1_I11_NUCB1_Abnova,0.229819088,0.706784958
Plate1_I12_YWHAZ_Aviva,0.099132655,0.046963571
Plate1_I13_NEUROG3_Abnova,0.086733181,0.088995717
Plate1_I15_CALML5_Abnova,0.066474531,0.090039909
Plate1_I17_PF4_Abnova,-0.176448001,0.154980646
Plate1_I18_AK1_Aviva,0.086766733,0.037663498
Plate1_I19_PGAM1_Abnova,0.191510491,0.18046827
Plate1_I2_WNT6_Aviva,-0.037544466,0.047217109
Plate1_I20_P4HB_Aviva,-0.021506643,0.010194554
Plate1_I21_PGK1_Abnova,0.07139185,0.207237247
