Protein,Delta,DeltaSquared
ALDOB_Aviva,-0.056844657,0.098733563
APCS_Abnova,-0.11201245,0.221883887
SERPIND1_Aviva,0.077993372,0.052379916
BCL2L2_Abnova,-0.148760142,0.081863811
CEACAM1_Abnova,0.055531345,0.103830347
SFTPB_Aviva,0.140168268,0.101496851
BMX_Abnova,0.012372988,0.052448069
MASP2_Aviva,0.044501986,0.085525272
CAPG_Abnova,0.145722547,0.071439033
MARCO_Aviva,-0.102958438,0.039125798
CAST_Abnova,0.019386117,0.033813453
LEP_Aviva,-0.027421769,0.043110505
CD97_Abnova,0.074133444,0.137929447
APOB_Aviva,-0.016796096,0.065745238
AGT_Abnova,0.129280574,0.062835511
FZD8_Aviva,-0.031840713,0.094327008
ALDOB_Abnova,-0.055908689,0.052338998
WNT7B_Aviva,-0.039272827,0.102045575
ANK1_Abnova,-0.1510494,0.103583975
PPIG_Abnova,0.019291887,0.031594097
LCN1_Aviva,0.050392015,0.205245139
RIN1_Abnova,0.088485588,0.059104601
LGALS3BP_Aviva,-0.166527574,0.343835637
CAP1_Abnova,-0.013152237,0.068444147
PRDX5_Aviva,0.11004509,0.238083057
HEXIM1_Abnova,-0.147846795,0.120197265
TGOLN2_Abnova,0.075681623,0.061862534
AMPH_Aviva,-0.222853468,0.232258941
WISP2_Abnova,0.05841922,0.043672349
JAK3_Aviva,-0.052325424,0.030095392
IGFBP2_Aviva,-0.245078223,0.424225151
RPS6KA5_Abnova,0.013008676,0.02620785
CTSD_Abnova,-0.020339437,0.072175832
GDF15_Aviva,0.068532561,0.061304373
DEFA1_Abnova,0.091962108,0.042292745
KRT16_Aviva,-0.160672638,0.23283325
CDC25A_Abnova,0.015333331,0.022217076
PON3_Aviva,0.059706875,0.070432358
CDH1_Abnova,0.358644207,0.545052827
C4B_Aviva,0.082639493,0.046154861
PTX3_Aviva,0.048147012,0.088586055
IL24_Abnova,0.113612064,0.081569563
SFRP2_Aviva,0.068227419,0.113326544
LILRA3_Abnova,0.046993711,0.061975008
B2M_Aviva,0.221270174,0.230238228
B3GNT6_Abnova,-0.129620101,0.155626037
RAB5A_Aviva,-0.003430523,0.02160847
SKG1_Aviva,0.023569167,0.073404336
CSNK1G1_Abnova,0.025224464,0.080255393
PTK6_Aviva,0.119724884,0.186019599
PSENEN_Abnova,0.037752362,0.01704965
RLN1_Aviva,-0.089549999,0.087405705
SEPT9_Abnova,0.086162166,0.12637361
STIP1_Abnova,0.049760857,0.226495283
PRSS8_Aviva,-0.043505546,0.01792362
STIP1_Abnova,0.116968552,0.28542315
EPHA4_Abnova,-0.077068319,0.122576699
GALNT1_Abnova,-0.028957627,0.019208521
PSEN2_Aviva,0.018587555,0.115226104
GCK_Abnova,0.00588832,0.163705591
GLI1_Abnova,-0.023411626,0.080554484
FAM3C_Aviva,0.014661231,0.071059808
RGS18_Aviva,-0.072481777,0.10694455
ITGB8_Aviva,0.026311095,0.01754965
GRN_Abnova,-0.091565935,0.058870244
LSAMP_Aviva,0.060230602,0.031570184
GSTP1_Abnova,-0.026089163,0.124860432
PTPN1_Aviva,0.09917725,0.114623348
FBLN2_Abnova,0.05866508,0.048990016
FGFR1_Abnova,-0.213316634,0.224850163
CCNB1_Aviva,0.077952198,0.09353561
FOS_Abnova,0.181789482,0.164253626
CREBBP_Aviva,0.033546792,0.11762358
FRZB_Abnova,0.049770541,0.122039816
EGR1_Aviva,-0.047823072,0.300513244
SIK1_Abnova,-0.104004668,0.096690354
MUC3B_Aviva,0.28141809,0.6130359
CDK1_Aviva,0.012265108,0.054050081
STC2_Abnova,0.000382698,0.095954496
FKBP2_Aviva,0.080552496,0.07416473
SNX7_Aviva,-0.018435032,0.084491875
LGALS1_Aviva,0.127033678,0.110587765
