Protein,Delta,DeltaSquared
Plate1_A10_ALDOB_Aviva,-7.92E-05,0.038113202
Plate1_A11_APCS_Abnova,-0.047094492,0.171337226
Plate1_A12_SERPIND1_Aviva,0.055174118,0.052770462
Plate1_A13_BCL2L2_Abnova,0.095267387,0.214019776
Plate1_A15_CEACAM1_Abnova,-0.002081613,0.054387924
Plate1_A16_SFTPB_Aviva,0.028357115,0.047037897
Plate1_A17_BMX_Abnova,0.063162861,0.114443823
Plate1_A18_MASP2_Aviva,0.032276252,0.044724024
Plate1_A19_CAPG_Abnova,0.063216041,0.061129213
Plate1_A20_MARCO_Aviva,0.017654052,0.049188714
Plate1_A21_CAST_Abnova,-0.010272369,0.03639857
Plate1_A22_LEP_Aviva,0.004530885,0.05256694
Plate1_A23_CD97_Abnova,-0.026712368,0.125743012
Plate1_A24_APOB_Aviva,0.033847378,0.027953838
Plate1_A3_AGT_Abnova,0.001051877,0.052308818
Plate1_A6_FZD8_Aviva,0.062878396,0.093826897
Plate1_A7_ALDOB_Abnova,-0.034712045,0.034158636
Plate1_A8_WNT7B_Aviva,0.027557037,0.039730162
Plate1_A9_ANK1_Abnova,0.010026486,0.307829303
Plate1_B11_PPIG_Abnova,0.003124523,0.045036041
Plate1_B12_LCN1_Aviva,0.00733253,0.017639276
Plate1_B15_RIN1_Abnova,0.000856553,0.249099087
Plate1_B17_ACTR3_Abnova,-0.05532242,0.165227741
Plate1_B18_LGALS3BP_Aviva,-0.022537057,0.022996805
Plate1_B19_CAP1_Abnova,-0.089723154,0.067259739
Plate1_B20_PRDX5_Aviva,0.058648924,0.047239732
Plate1_B21_HEXIM1_Abnova,0.016406126,0.052877648
Plate1_B22_DAPP1_Aviva,0.026731472,0.055976136
Plate1_B23_TGOLN2_Abnova,-0.038160134,0.088133205
Plate1_B24_AMPH_Aviva,-0.003289479,0.043000846
Plate1_B3_WISP2_Abnova,-0.060334561,0.078804663
Plate1_B6_JAK3_Aviva,0.021947889,0.018198239
Plate1_B8_IGFBP2_Aviva,0.039518652,0.038417928
Plate1_B9_RPS6KA5_Abnova,0.032138331,0.123783737
Plate1_C15_CTSD_Abnova,-0.031804763,0.025219576
Plate1_C16_GDF15_Aviva,0.011481358,0.04612473
Plate1_C17_DEFA1_Abnova,0.024158211,0.078194955
Plate1_C18_KRT16_Aviva,-0.013810841,0.005209863
Plate1_C3_CDC25A_Abnova,-0.074734547,0.084703202
Plate1_C4_PON3_Aviva,0.007387563,0.070074986
Plate1_C5_CDH1_Abnova,-0.001976623,0.144237798
Plate1_C6_C4B_Aviva,0.011284778,0.023716483
Plate1_D10_PTX3_Aviva,0.06610028,0.062365232
Plate1_D11_IL24_Abnova,-0.081735536,0.041390818
Plate1_D12_SFRP2_Aviva,-0.001176134,0.018616732
Plate1_D13_LILRA3_Abnova,-0.058795832,0.035687084
Plate1_D14_B2M_Aviva,0.006116825,0.007078951
Plate1_D15_B3GNT6_Abnova,0.156220851,0.597762458
Plate1_D18_RAB5A_Aviva,0.025540442,0.040016354
Plate1_D20_SKG1_Aviva,-0.040797379,0.062747758
Plate1_D21_CSNK1G1_Abnova,-0.000650737,0.038317916
Plate1_D22_PTK6_Aviva,0.026398211,0.026695649
Plate1_D23_PSENEN_Abnova,0.005818959,0.102695281
Plate1_D24_RLN1_Aviva,0.028790954,0.038598368
Plate1_D5_SEPT9_Abnova,-0.024254577,0.026929302
Plate1_D7_STIP1_Abnova,0.011601261,0.011628723
Plate1_D8_PRSS8_Aviva,-0.035417577,0.061056522
Plate1_D9_STIP1_Abnova,0.103918386,0.023446427
Plate1_E1_EPHA4_Abnova,-0.054266103,0.196488792
Plate1_E10_PTCH1_Aviva,0.026749971,0.017464917
Plate1_E11_GALNT1_Abnova,-0.087944897,0.091904806
Plate1_E12_PSEN2_Aviva,-0.00551468,0.046269059
Plate1_E13_GCK_Abnova,-0.009005536,0.098099316
Plate1_E17_GLI1_Abnova,-0.024781839,0.095458472
Plate1_E18_FAM3C_Aviva,0.008587735,0.017191157
Plate1_E19_GLI3_Abnova,0.096017941,0.131322876
Plate1_E2_RGS18_Aviva,0.004636015,0.037650022
Plate1_E20_ITGB8_Aviva,0.092395142,0.031118027
Plate1_E21_GRN_Abnova,0.00948942,0.061896192
Plate1_E22_LSAMP_Aviva,0.004367319,0.018974623
Plate1_E23_GSTP1_Abnova,-0.0466613,0.27480608
Plate1_E24_PTPN1_Aviva,-0.054695045,0.026607535
Plate1_E3_FBLN2_Abnova,0.066808158,0.169365126
Plate1_E5_FGFR1_Abnova,0.033972529,0.042934039
Plate1_E6_CCNB1_Aviva,0.085009818,0.07845038
Plate1_E7_FOS_Abnova,0.020115989,0.029765967
Plate1_E8_CREBBP_Aviva,0.090052203,0.050016699
Plate1_E9_FRZB_Abnova,0.041427644,0.059687326
Plate1_F10_EGR1_Aviva,0.057766215,0.021494716
Plate1_F11_SIK1_Abnova,-0.049598043,0.04776962
Plate1_F12_MUC3B_Aviva,0.047208479,0.046998048
Plate1_F14_CDK1_Aviva,0.052327488,0.021692321
Plate1_F15_STC2_Abnova,-0.009872575,0.08886044
Plate1_F17_ALDOA_Abnova,0.012780099,0.016189453
Plate1_F18_FKBP2_Aviva,-0.016170551,0.021677308
Plate1_F2_SNX7_Aviva,0.021618453,0.029316046
Plate1_F20_LGALS1_Aviva,0.114385762,0.082014464
Plate1_F21_GAS7_Abnova,-0.01794477,0.090717691
Plate1_F22_GAPDH_Aviva,0.096910812,0.03612089
Plate1_F23_NCK1_Abnova,0.021854605,0.038212375
Plate1_F24_AZGP1_Aviva,0.008766681,0.012793497
Plate1_F3_RGS18_Abnova,0.065943345,0.078057902
Plate1_F6_CNPY3_Aviva,-0.05563078,0.032320079
Plate1_F7_INHBE_Abnova,0.036492505,0.035877459
Plate1_F8_WNT8B_Aviva,0.115375065,0.051269113
Plate1_F9_PLXDC2_Abnova,0.037515651,0.135993664
Plate1_G15_LDHB_Abnova,0.071560581,0.099017265
Plate1_G16_GM2A_Aviva,-0.018142576,0.126049262
Plate1_G18_DLGAP5_Aviva,0.07575667,0.037027426
Plate1_G19_LRP5_Abnova,-0.055443449,0.073749886
Plate1_G3_HES1_Abnova,0.029497432,0.050804496
Plate1_G4_ST3GAL1_Aviva,0.007062212,0.02492366
Plate1_G5_IL1RAP_Abnova,-0.038927446,0.035775758
Plate1_G6_TGFB2_Aviva,0.044459971,0.031608411
Plate1_H1_ETS1_Abnova,0.048674859,0.052110717
Plate1_H10_CD28_Aviva,0.039134482,0.06743078
Plate1_H11_E2F4 _Abnova,-0.022167357,0.056871063
Plate1_H12_SELE_Aviva,0.003838323,0.025709229
Plate1_H13_FLT1_Abnova,-0.013843949,0.013532113
Plate1_H14_VCP_Aviva,-0.006339428,0.019710073
Plate1_H15_GALK1_Abnova,-0.049234036,0.047995738
Plate1_H16_NME1 (NME1;NME2)_Aviva,-0.012200331,0.056356901
Plate1_H17_PLD1_Abnova,0.102024329,0.059042383
Plate1_H18_SIRPA_Aviva,0.065960042,0.068531105
Plate1_H2_BMP6_Aviva,0.037478654,0.011638619
Plate1_H20_ASCL1_Aviva,0.033114509,0.040217158
Plate1_H21_CALR_Aviva,-0.049994058,0.063575865
Plate1_H22_YWHAB_Aviva,-0.015348439,0.063079977
Plate1_H23_AREG_Aviva,-0.002774356,0.051058599
Plate1_H24_RIPK2_Aviva,0.041679482,0.014917091
Plate1_H3_GCNT1_Abnova,0.027881084,0.026083731
Plate1_H6_CASP1_Aviva,0.063148624,0.027413629
Plate1_H8_AXL_Aviva,0.014579922,0.027748821
Plate1_H9_PIN1_Abnova,-0.013907168,0.030805354
Plate1_I1_NAP1L1_Abnova,0.040291862,0.091191579
Plate1_I10_ST6GALNAC1_Aviva,0.059567667,0.042083014
Plate1_I11_NUCB1_Abnova,0.215121391,1.110094924
Plate1_I12_YWHAZ_Aviva,0.066632143,0.061169296
Plate1_I13_NEUROG3_Abnova,0.122780862,0.071952433
Plate1_I15_CALML5_Abnova,0.071904465,0.033685613
Plate1_I17_PF4_Abnova,-0.097179637,0.205318266
Plate1_I18_AK1_Aviva,0.007038411,0.031406367
Plate1_I19_PGAM1_Abnova,0.002826622,0.105275773
Plate1_I2_WNT6_Aviva,0.012745165,0.044698512
Plate1_I20_P4HB_Aviva,0.061692322,0.017064321
Plate1_I21_PGK1_Abnova,0.094107408,0.249075864
Plate1_I22_CNN1_Aviva,0.067364241,0.037803022
Plate1_I23_ABCB1_Abnova,0.010513861,0.109386886
Plate1_I24_EEF1A1_Aviva,0.065744732,0.076874176
Plate1_I4_LYVE1_Aviva,0.088873205,0.066732709
Plate1_I5_NOTCH3_Abnova,0.01539701,0.067265599
Plate1_I6_NRG1_Aviva,-0.067658274,0.031150611
Plate1_I7_NOV_Abnova,-0.006995419,0.084983843
Plate1_I8_PODXL_Aviva,0.059604356,0.054554767
Plate1_I9_NTS_Abnova,-0.045027407,0.050730038
Plate1_J10_INSR_Aviva,0.036364717,0.031992982
Plate1_J11_PDK2_Aviva,-0.008942151,0.047771149
Plate1_J12_JUN_Aviva,0.057683201,0.028927015
Plate1_J14_E2F1_Aviva,0.042848672,0.021394299
Plate1_J15_HOXC11_Aviva,0.053842228,0.035009873
Plate1_J18_ID2_Aviva,0.001694979,0.132256085
Plate1_J19_NFKB2_Aviva,0.031055993,0.021994461
Plate1_J2_CDC25C_Aviva,0.043488831,0.048695783
Plate1_J20_TBP_Aviva,0.030417567,0.023132307
Plate1_J21_NOTCH3_Aviva,0.072311226,0.028651728
Plate1_J22_FZD2 _Aviva,0.081464573,0.102715558
Plate1_J23_WNT1_Aviva,0.028264103,0.067459289
Plate1_J24_SIGLEC6 _Aviva,0.114767508,0.081544981
Plate1_J3_FAS_Aviva,0.022754169,0.036017901
Plate1_J5_CXCR4_Aviva,0.055675096,0.119667852
Plate1_J6_CDC25A_Aviva,-0.001328877,0.017432184
Plate1_J7_IRF9_Aviva,0.071671485,0.056901234
Plate1_J8_CCNE2_Aviva,0.107028356,0.059791684
Plate1_J9_TFAM_Aviva,0.069065985,0.041487625
Plate1_K15_RALGDS_Abnova,0.018935079,0.052083575
Plate1_K16_CAP1_Aviva,0.009269679,0.028744563
Plate1_K17_RARB_Abnova,0.008138598,0.044308041
Plate1_K18_DSTN_Aviva,-0.003104333,0.02996411
Plate1_K19_RBL1_Abnova,-0.085097142,0.181587526
Plate1_K21_RGS10_Abnova,-0.004876851,0.054825361
Plate1_K24_PRDX1_Aviva,0.014944906,0.01510811
Plate1_K3_PLA2G4A_Abnova,0.039270513,0.04316142
Plate1_K4_ENO3_Aviva,0.017773063,0.016611056
Plate1_K6_PRDX6_Aviva,0.046791743,0.035661039
Plate1_K7_PRKCA_Abnova,-0.00215757,0.291679046
Plate1_L1_ATOH1_Aviva,0.021019433,0.01169987
Plate1_L10_ACAT1_Aviva,-0.018314625,0.036216541
Plate1_L11_ASGR2_Aviva,-0.034192821,0.070212566
Plate1_L12_AMBP_Aviva,0.032474182,0.040701139
Plate1_L13_RGS12_Aviva,0.024449312,0.050165249
Plate1_L14_CORO1A_Aviva,-0.008666577,0.076269964
Plate1_L15_MANSC1_Aviva,0.003110802,0.022931266
Plate1_L16_GOT2_Aviva,0.024635092,0.025628026
Plate1_L17_ENO1_Aviva,-0.033334782,0.053436001
Plate1_L18_HNRNPU_Aviva,-0.009055632,0.024938538
Plate1_L19_ZYX_Aviva,0.023617817,0.018494159
Plate1_L2_G6PD_Aviva,-0.010116022,0.050802943
Plate1_L20_LOXL1_Aviva,0.03323662,0.008787254
Plate1_L21_CSRP1_Aviva,0.041467953,0.033247579
Plate1_L22_MDH2_Aviva,-0.047740914,0.031267362
Plate1_L23_TCF7_Aviva,0.048348868,0.029289409
Plate1_L24_PDLIM5_Aviva,0.033936112,0.047172344
Plate1_L3_LEF1_Aviva,0.027800962,0.01495013
Plate1_L4_GAPDH_Aviva,0.058537114,0.029379452
Plate1_L5_NCOR2_Aviva,0.025278105,0.041837794
Plate1_L6_KLK10_Aviva,-0.010382752,0.027732965
Plate1_L7_PTK2B_Aviva,0.013666745,0.016810265
Plate1_L8_EEA1_Aviva,0.027842565,0.019747526
Plate1_L9_PPARA_Aviva,0.041696295,0.078199316
Plate1_M10_C1GALT1_Aviva,0.052052043,0.054161818
Plate1_M11_TIMP1_Abnova,-0.069024429,0.064444425
Plate1_M12_GAL3ST3_Aviva,0.016251828,0.046890922
Plate1_M13_TIMP2_Abnova,0.005008633,0.080403637
Plate1_M17_PHLDA2_Abnova,0.040020359,0.118717069
Plate1_M18_PYGO1_Aviva,-0.072181878,0.030578152
Plate1_M19_TTR_Abnova,-0.111679458,0.086767367
Plate1_M20_PYGO2_Aviva,-0.045417261,0.098374601
Plate1_M21_VCL_Abnova,-0.064120681,0.088807544
Plate1_M22_ABCB1_Aviva,0.002519873,0.016983617
