Protein,Delta,DeltaSquared
Plate1_A10_ALDOB_Aviva,-0.098491269,0.032012836
Plate1_A11_APCS_Abnova,0.09052399,0.249003936
Plate1_A12_SERPIND1_Aviva,0.119722338,0.094469214
Plate1_A13_BCL2L2_Abnova,-0.045101194,0.035598272
Plate1_A14_PON1_Aviva,0.009278509,0.022328369
Plate1_A15_CEACAM1_Abnova,-0.081410555,0.043258584
Plate1_A16_SFTPB_Aviva,0.009693204,0.051428541
Plate1_A17_BMX_Abnova,0.186708712,0.219223731
Plate1_A18_MASP2_Aviva,0.041368528,0.030452348
Plate1_A19_CAPG_Abnova,-0.00887686,0.047011938
Plate1_A2_WNT16_Aviva,0.040151638,0.043957031
Plate1_A20_MARCO_Aviva,0.006716637,0.049942243
Plate1_A21_CAST_Abnova,-0.110499383,0.037319014
Plate1_A22_LEP_Aviva,0.060355763,0.057839691
Plate1_A23_CD97_Abnova,-0.226241769,0.199814298
Plate1_A24_APOB_Aviva,0.020423976,0.021151085
Plate1_A3_AGT_Abnova,-0.111172058,0.051173314
Plate1_A4_WNT2B_Aviva,0.051911896,0.02062716
Plate1_A5_ALDOA_Abnova,0.136400613,0.054566649
Plate1_A6_FZD8_Aviva,0.167021173,0.118468391
Plate1_A7_ALDOB_Abnova,-0.013746145,0.018005447
Plate1_A8_WNT7B_Aviva,0.016891032,0.068742556
Plate1_A9_ANK1_Abnova,-0.139215695,0.330868423
Plate1_B10_GNB1_Aviva,-0.022482669,0.060572977
Plate1_B11_PPIG_Abnova,-0.015705628,0.067889097
Plate1_B12_LCN1_Aviva,-0.09976182,0.033319762
Plate1_B14_H1F0_Aviva,0.018376815,0.028064842
Plate1_B15_RIN1_Abnova,0.020074253,0.201847626
Plate1_B17_ACTR3_Abnova,-0.258366355,0.1600051
Plate1_B18_LGALS3BP_Aviva,-0.017216218,0.012479366
Plate1_B19_CAP1_Abnova,-0.078800384,0.063408146
Plate1_B2_ST6GALNAC2_Aviva,-0.016411019,0.029572544
Plate1_B20_PRDX5_Aviva,0.123014577,0.031714302
Plate1_B21_HEXIM1_Abnova,-0.112362256,0.048317716
Plate1_B22_DAPP1_Aviva,-0.006574736,0.052379352
Plate1_B23_TGOLN2_Abnova,-0.300324169,0.130121922
Plate1_B24_AMPH_Aviva,-0.02523155,0.024552511
Plate1_B3_WISP2_Abnova,0.008168952,0.080041167
Plate1_B5_VNN1_Abnova,-0.166950203,0.086619391
Plate1_B6_JAK3_Aviva,0.027976136,0.006366463
Plate1_B8_IGFBP2_Aviva,0.112954578,0.043940747
Plate1_B9_RPS6KA5_Abnova,0.091948648,0.074917221
Plate1_C12_NTSR1_Aviva,0.038279779,0.0463859
Plate1_C15_CTSD_Abnova,-0.052949466,0.031170473
Plate1_C16_GDF15_Aviva,0.065308008,0.045609602
Plate1_C17_DEFA1_Abnova,0.126707368,0.094876963
Plate1_C18_KRT16_Aviva,-0.044327054,0.011061657
Plate1_C3_CDC25A_Abnova,-0.087283533,0.113110449
Plate1_C4_PON3_Aviva,0.054870257,0.030133787
Plate1_C5_CDH1_Abnova,0.110276952,0.110534617
Plate1_C6_C4B_Aviva,0.029788526,0.019306217
Plate1_D10_PTX3_Aviva,0.162152261,0.073054378
Plate1_D11_IL24_Abnova,-0.148979642,0.072788582
Plate1_D12_SFRP2_Aviva,0.0198287,0.008958722
Plate1_D13_LILRA3_Abnova,-0.056966368,0.01357145
Plate1_D14_B2M_Aviva,0.030219684,0.003289652
Plate1_D15_B3GNT6_Abnova,0.177330396,0.175042844
Plate1_D18_RAB5A_Aviva,-0.049023667,0.02734254
Plate1_D2_PEPD_Aviva,-0.120697635,0.073678466
Plate1_D20_SKG1_Aviva,-0.038139416,0.059266775
Plate1_D21_CSNK1G1_Abnova,-0.107991228,0.042937011
Plate1_D22_PTK6_Aviva,0.042724463,0.020965669
Plate1_D23_PSENEN_Abnova,0.018857723,0.088000681
Plate1_D24_RLN1_Aviva,-0.043438972,0.071520304
Plate1_D5_SEPT9_Abnova,0.020885788,0.022661786
Plate1_D7_STIP1_Abnova,0.057647551,0.018754508
Plate1_D8_PRSS8_Aviva,-0.060724081,0.023002733
Plate1_D9_STIP1_Abnova,0.13691699,0.033193672
Plate1_E1_EPHA4_Abnova,-0.079520556,0.168423654
Plate1_E10_PTCH1_Aviva,-0.00369412,0.01026244
Plate1_E11_GALNT1_Abnova,-0.215988006,0.093250931
Plate1_E12_PSEN2_Aviva,-0.058833824,0.046139431
Plate1_E13_GCK_Abnova,-0.076657304,0.060352533
Plate1_E17_GLI1_Abnova,-0.142444138,0.088704695
Plate1_E18_FAM3C_Aviva,0.003633863,0.028537708
