Protein,Delta,DeltaSquared
Plate1_A10_ALDOB_Aviva,0.052911973,0.041398014
Plate1_A11_APCS_Abnova,-0.121196752,0.12951669
Plate1_A12_SERPIND1_Aviva,0.020417384,0.030317288
Plate1_A13_BCL2L2_Abnova,0.170850469,0.310092894
Plate1_A15_CEACAM1_Abnova,0.040633971,0.060380645
Plate1_A16_SFTPB_Aviva,0.038406914,0.044673703
Plate1_A17_BMX_Abnova,-0.003361828,0.058023873
Plate1_A18_MASP2_Aviva,0.027380411,0.052408773
Plate1_A19_CAPG_Abnova,0.102035296,0.068730823
Plate1_A20_MARCO_Aviva,0.023543429,0.048782968
Plate1_A21_CAST_Abnova,0.043696023,0.035902947
Plate1_A22_LEP_Aviva,-0.025528665,0.049727766
Plate1_A23_CD97_Abnova,0.080726541,0.085858473
Plate1_A24_APOB_Aviva,0.041075363,0.03161686
Plate1_A3_AGT_Abnova,0.061480149,0.052920243
Plate1_A6_FZD8_Aviva,0.006801516,0.0805584
Plate1_A7_ALDOB_Abnova,-0.046001377,0.042856507
Plate1_A8_WNT7B_Aviva,0.033300271,0.024108104
Plate1_A9_ANK1_Abnova,0.09038766,0.295423623
Plate1_B11_PPIG_Abnova,0.013263836,0.032730549
Plate1_B12_LCN1_Aviva,0.064998718,0.009195937
Plate1_B15_RIN1_Abnova,-0.009491439,0.274542181
Plate1_B17_ACTR3_Abnova,0.05400893,0.168039932
Plate1_B18_LGALS3BP_Aviva,-0.025402124,0.028660041
Plate1_B19_CAP1_Abnova,-0.095604646,0.069333674
Plate1_B20_PRDX5_Aviva,0.023990495,0.055599579
Plate1_B21_HEXIM1_Abnova,0.085742947,0.055332996
Plate1_B22_DAPP1_Aviva,0.044665584,0.057912865
Plate1_B23_TGOLN2_Abnova,0.103005115,0.065523896
Plate1_B24_AMPH_Aviva,0.008525483,0.052934565
Plate1_B3_WISP2_Abnova,-0.097221067,0.078138853
Plate1_B6_JAK3_Aviva,0.01870191,0.024569195
Plate1_B8_IGFBP2_Aviva,-2.38E-05,0.035444102
Plate1_B9_RPS6KA5_Abnova,-6.72E-05,0.150096477
Plate1_C15_CTSD_Abnova,-0.020419154,0.022015247
Plate1_C16_GDF15_Aviva,-0.017502223,0.046402107
Plate1_C17_DEFA1_Abnova,-0.031060565,0.069212336
Plate1_C18_KRT16_Aviva,0.002620965,0.002058896
Plate1_C3_CDC25A_Abnova,-0.067977401,0.069406993
Plate1_C4_PON3_Aviva,-0.018180041,0.091581785
Plate1_C5_CDH1_Abnova,-0.062420857,0.162385665
