"","x"
"PC1",0.40298
"PC2",0.11086
"PC3",0.08499
"PC4",0.04871
"PC5",0.03646
"PC6",0.03045
"PC7",0.02263
"PC8",0.01968
"PC9",0.01554
"PC10",0.0146
"PC11",0.01436
"PC12",0.01148
"PC13",0.01007
"PC14",0.00963
"PC15",0.0088
"PC16",0.0081
"PC17",0.00773
"PC18",0.00729
"PC19",0.00645
"PC20",0.00606
"PC21",0.00585
"PC22",0.0053
"PC23",0.00496
"PC24",0.00488
"PC25",0.00476
"PC26",0.00453
"PC27",0.00396
"PC28",0.00386
"PC29",0.0036
"PC30",0.00357
"PC31",0.00321
"PC32",0.00309
"PC33",0.00302
"PC34",0.00296
"PC35",0.00279
"PC36",0.00261
"PC37",0.00257
"PC38",0.00246
"PC39",0.00233
"PC40",0.00223
"PC41",0.00219
"PC42",0.00207
"PC43",0.00194
"PC44",0.00191
"PC45",0.0019
"PC46",0.00171
"PC47",0.0017
"PC48",0.00168
"PC49",0.00162
"PC50",0.00153
"PC51",0.00149
"PC52",0.00144
"PC53",0.00132
"PC54",0.00129
"PC55",0.00126
"PC56",0.00121
"PC57",0.00115
"PC58",0.00112
"PC59",0.0011
"PC60",0.00108
"PC61",0.00106
"PC62",0.001
"PC63",0.00097
"PC64",0.00094
"PC65",0.00092
"PC66",0.00091
"PC67",0.00087
"PC68",0.00084
"PC69",0.00084
"PC70",0.00081
"PC71",0.00079
"PC72",0.00078
"PC73",0.00076
"PC74",0.00075
"PC75",0.00071
"PC76",0.00069
"PC77",0.00067
"PC78",0.00066
"PC79",0.00063
"PC80",0.00061
"PC81",0.00059
"PC82",0.00056
"PC83",0.00055
"PC84",0.00053
"PC85",5e-04
"PC86",0.00048
"PC87",0.00047
"PC88",0
