"","x"
"PC1",0.44835
"PC2",0.11337
"PC3",0.09775
"PC4",0.0533
"PC5",0.04349
"PC6",0.02816
"PC7",0.022
"PC8",0.01942
"PC9",0.01687
"PC10",0.01623
"PC11",0.01461
"PC12",0.0125
"PC13",0.00965
"PC14",0.00897
"PC15",0.00812
"PC16",0.00716
"PC17",0.00657
"PC18",0.00618
"PC19",0.00574
"PC20",0.00519
"PC21",0.00471
"PC22",0.00418
"PC23",0.00414
"PC24",0.00333
"PC25",0.00326
"PC26",0.00314
"PC27",0.00293
"PC28",0.00266
"PC29",0.00255
"PC30",0.00217
"PC31",0.00214
"PC32",0.00206
"PC33",0.00193
"PC34",0.00185
"PC35",0.00174
"PC36",0.00167
"PC37",0.00165
"PC38",0.00156
"PC39",0.00151
"PC40",0.00141
"PC41",0.00129
"PC42",0.00125
"PC43",0.00122
"PC44",0.00102
"PC45",0.00098
"PC46",0
