"","x"
"PC1",0.42411
"PC2",0.12914
"PC3",0.06479
"PC4",0.05614
"PC5",0.04558
"PC6",0.03045
"PC7",0.02993
"PC8",0.02334
"PC9",0.02055
"PC10",0.01774
"PC11",0.01514
"PC12",0.01217
"PC13",0.01168
"PC14",0.01089
"PC15",0.0101
"PC16",0.00882
"PC17",0.00752
"PC18",0.00738
"PC19",0.00704
"PC20",0.00611
"PC21",0.00583
"PC22",0.00514
"PC23",0.00478
"PC24",0.00473
"PC25",0.00423
"PC26",0.0037
"PC27",0.00356
"PC28",0.00323
"PC29",0.00291
"PC30",0.00272
"PC31",0.0026
"PC32",0.00247
"PC33",0.0022
"PC34",0.00204
"PC35",0.00189
"PC36",0.0018
"PC37",0.00171
"PC38",0.00165
"PC39",0.00149
"PC40",0.00141
"PC41",0.0013
"PC42",0
