"","x"
"PC1",0.3684
"PC2",0.14452
"PC3",0.10972
"PC4",0.05586
"PC5",0.03813
"PC6",0.03183
"PC7",0.02854
"PC8",0.02228
"PC9",0.01959
"PC10",0.01718
"PC11",0.01334
"PC12",0.01238
"PC13",0.01168
"PC14",0.01052
"PC15",0.01022
"PC16",0.00899
"PC17",0.00788
"PC18",0.00727
"PC19",0.00657
"PC20",0.00603
"PC21",0.00572
"PC22",0.00508
"PC23",0.00469
"PC24",0.00435
"PC25",0.00383
"PC26",0.00365
"PC27",0.00335
"PC28",0.0029
"PC29",0.00284
"PC30",0.00266
"PC31",0.00247
"PC32",0.00237
"PC33",0.00226
"PC34",0.00225
"PC35",0.00218
"PC36",0.00191
"PC37",0.00187
"PC38",0.00177
"PC39",0.00174
"PC40",0.00169
"PC41",0.00164
"PC42",0.00163
"PC43",0.00142
"PC44",0.00134
"PC45",0.00128
"PC46",0.00113
"PC47",0.00106
"PC48",0
