"","x"
"PC1",0.29917
"PC2",0.18583
"PC3",0.13833
"PC4",0.07516
"PC5",0.04417
"PC6",0.03975
"PC7",0.03151
"PC8",0.02531
"PC9",0.0192
"PC10",0.01827
"PC11",0.0158
"PC12",0.01388
"PC13",0.01293
"PC14",0.01021
"PC15",0.00889
"PC16",0.00754
"PC17",0.00578
"PC18",0.0053
"PC19",0.00519
"PC20",0.00415
"PC21",0.00411
"PC22",0.00386
"PC23",0.0037
"PC24",0.00344
"PC25",0.00324
"PC26",0.00312
"PC27",0.00303
"PC28",0.00257
"PC29",0.00246
"PC30",0.00215
"PC31",0.00195
"PC32",0
