Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Sample
-1.907968218,-4.951305509,-11.25120228,2.399256675,4.818757209,1.278773672,-1.247403028,-0.277022839,21103_A
-3.059430409,-2.037255607,-17.95347989,1.235566821,-1.901281654,-0.760932763,-0.507443398,3.022392569,21103_B
0.423656472,-3.947582053,-14.71027903,-0.133658582,-0.180593138,-0.131633082,0.10938424,1.909860848,21106_B
2.58554639,-1.85784098,-18.95571707,0.87349048,-3.522553059,1.008831259,-3.398134566,0.267660831,21106_A
1.236335111,-2.182751588,-8.687083395,2.663905959,-0.395034972,-2.303379783,-3.985837702,-0.361901142,21117_B
4.089932412,-1.204669289,-16.54821997,1.502001293,-3.224878297,1.717679034,-4.738457528,-0.681752929,21117_A
1.400734461,-4.484860756,-15.92129698,-1.268800266,-3.609626847,0.400023064,0.189714154,2.929726035,21121_A
4.157263826,-2.926478423,-14.46714969,-0.314646435,-2.732981242,0.459006401,-1.782374902,0.685642459,21121_B
1.188187181,-2.408821366,-16.91195384,2.054426665,-3.568441688,-0.844382497,-3.348549989,1.723740727,21134_A
3.061189558,-4.534182242,-3.470711735,-0.103485021,0.96771613,-2.807220381,-0.907376759,0.856091712,21134_B
0.66086987,-3.343642418,-15.22261044,0.912412338,-2.944579991,-0.151828022,-2.150253187,1.55500127,21150_A
-3.568536259,-5.572697532,11.87071101,3.388873086,-7.991977068,2.9471391,4.132063804,1.057415772,21150_B
3.148177077,-7.115909385,-9.975161683,-2.108621182,5.143965868,-2.585257265,3.982178144,-6.18376491,21151_A
0.091665411,-0.435365454,-10.71969037,-1.588132576,-3.459662306,-1.938439411,4.147812865,-0.1543476,21151_B
0.498771261,-2.174002339,-12.66249503,-0.311350235,-1.364755613,-2.83653145,4.491574871,-0.311036752,21217_B
-3.794028928,-2.211072565,3.441029609,6.479733464,1.788815325,-10.95456962,-2.541985518,-1.125106375,21217_A
3.69634601,1.547720297,0.732280039,-0.909140006,-4.123405033,-7.467166349,1.628062805,0.263911381,21233_B
0.540876869,-8.711487118,24.0084154,4.260065949,-10.21792471,4.598418933,-0.288041156,-7.546710683,21233_A
1.707288363,-3.167599718,3.303850618,0.786140898,-0.400090049,-6.145416111,2.323319449,-2.441946936,21235_B
3.647892481,1.550737285,-5.249978963,1.314137943,-2.695337374,-2.189234013,1.156764658,-5.125092317,21235_A
-0.95057003,-5.279657901,-6.283476888,-1.440148607,-1.504430937,-3.266175954,1.662469444,-0.453889939,21241_A
-1.689897436,-1.682158918,-5.798891171,1.574015078,0.036185604,-6.001924277,1.264881725,-1.267921487,21241_B
-3.627141953,-9.451720975,10.75374615,-4.907225573,1.058824984,-0.831938384,-3.330266248,5.372032794,21248_B
-5.910141469,0.988427796,-0.761289784,0.884146799,2.209516266,-1.967787733,-3.554933085,-2.899010146,21248_A
-4.410658719,2.649924012,-3.232604333,-2.700423483,-1.20587409,-0.067532877,-1.264350762,-1.766269766,21257_B
-7.534656361,1.427951277,-1.606947004,0.591788987,-2.085389157,-2.114704069,-1.191107374,2.203509836,21257_A
-2.386286467,0.246146629,-2.573455343,-3.594901253,1.441850957,-0.580608681,-2.462782829,-3.37374283,21281_B
-5.740259327,1.353396343,-9.102034688,-0.326309697,2.588210758,2.545720841,-2.937404564,-5.849496132,21281_A
