Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Sample
-1.007058252,-9.439162457,0.44638099,-1.439985798,-6.594619903,6.374549737,1.896211692,2.619561298,21121_A
1.197666626,-5.419505992,3.59864319,-1.108144958,-8.638626617,3.456369791,-3.717223657,-4.545981983,21121_B
-1.100888614,-6.737765563,1.423579924,-0.793440556,-7.193246224,4.126066156,1.514741198,-0.331335721,21150_A
-3.723618712,3.374094405,-18.65853886,-1.282440317,-5.263517019,4.155007894,2.295581876,-4.878668117,21150_B
0.920040914,-11.91369869,-17.99137211,8.715690874,8.758297323,-0.848030805,-2.201375643,-2.974177436,21233_B
-0.695826979,-4.692168204,2.814542569,0.651952844,-4.829346997,-3.289226562,1.620299182,-1.151530494,21233_A
0.358099322,-3.998581756,2.252634355,1.647696306,-4.91265982,-4.457026193,2.436073173,-1.096745146,21248_B
1.771483779,-2.198048031,-2.273400358,-0.453284724,-5.543404677,-6.687763973,0.700953172,-1.199665735,21248_A
-2.059721384,3.579133346,-36.73953796,3.408316058,-7.686725745,-1.344408044,-6.839810131,6.275035597,21257_B
0.737149467,-2.637692246,-12.60898579,2.90530264,-0.926853697,-7.278264827,-1.127348629,-4.666185701,21257_A
-4.523985919,1.413267818,8.198382767,-0.93152242,-1.027417016,-2.674010822,0.3705081,-0.761863032,21281_B
-1.050674154,-2.036799844,-0.439300049,-3.689628263,2.013278927,-2.337883226,-1.463269954,-1.880267123,21281_A
-2.617467832,2.000199729,-25.00722957,-8.089384158,1.961187552,2.384650719,5.515407743,-2.661693256,21282_B
-4.807212148,1.554832817,8.229158781,0.562363673,0.02628487,-4.043287729,-2.65520152,-4.861944103,21282_A
-5.193329602,-3.313174885,4.170841815,-1.256939338,3.555208014,-0.288316155,2.426856636,2.461061938,21300_B
-1.522405834,-2.569813424,6.246378731,-2.945847639,-0.184508767,-3.995622626,-0.12168145,3.787623047,21300_A
-1.673989767,-1.305060443,7.525234902,-3.22062583,1.020458879,-0.347636604,-3.456031915,-0.924326495,21328_A
-4.83819621,-2.687564791,8.994403147,-0.072227917,3.812293405,1.31412571,-3.41622779,-1.11494215,21328_B
2.574396844,-1.099245163,-12.92349879,-9.355976517,3.58958742,0.577527267,-2.208208527,-2.855339795,21336_A
-2.587022696,-6.423053381,-4.696084648,-4.368902985,6.298072344,4.939069248,0.581714201,1.811231546,21336_B
0.693529011,1.119188664,-1.836161135,-7.30976681,-1.926698733,-6.635272144,-1.67308173,0.787080551,21482_A
2.433768066,-2.822475659,-8.844387486,-8.013781534,1.394065162,-2.967379674,-0.069052642,2.935419087,21482_B
-0.507185693,-3.120251807,9.251718996,-4.517065521,-2.514130824,-0.912983795,-4.575492389,3.28484229,21551_B
2.621810202,0.533921536,10.29527872,3.597118188,-4.928827812,5.035697372,-0.148318092,-2.565394631,21551_A
4.138830223,1.098930494,10.66545204,1.660622786,-8.39644651,4.307665794,-3.074109191,-3.983179189,21622_B
2.616054994,0.16266759,9.622565637,2.386685608,-5.691117335,5.378729841,1.171082138,-0.981752582,21622_A
-1.478838427,8.344342327,-11.03779602,2.64925879,-3.521552264,4.385441821,4.013276649,-3.224925562,21658_A
2.200120732,-8.286583871,-12.31417396,12.15989102,10.81678082,0.527166655,0.237165025,-0.368818588,21658_B
1.599505079,0.647802838,7.658929435,4.460337413,-2.382477915,-2.018909193,4.545694424,1.024249596,21786_A
0.884730655,-0.631808293,5.402661289,3.763772765,-1.960611927,-1.442355752,6.949477221,3.639989635,21786_B
1.097764059,-1.459246741,4.181857954,2.972196608,-1.397151551,-1.726582401,5.758549311,4.408297843,21787_B
-0.979738502,9.608700253,-28.14058522,8.441049085,-2.349731281,2.831921488,-3.324863773,7.748127034,21787_A
2.847732986,1.32772674,-4.635707327,6.125351445,0.373796173,-5.001437398,0.230151206,-2.58923984,21840_B
-3.035096134,4.965413134,13.61486765,1.676060711,0.383302018,-0.682283973,1.949853022,1.586900265,21840_A
-0.653078557,5.272896354,0.678603688,1.26051069,4.747777814,-2.270743235,4.871809922,-0.771524823,21864_B
2.686566283,7.184316858,-9.158033908,-3.020181585,5.24300319,2.402335107,0.709546664,-5.948468906,21864_A
-0.903777049,7.852262223,13.04998537,3.078088329,1.830394755,-3.427410367,-1.337348361,-4.250196401,21874_B
-0.608934969,5.398464275,11.07141445,3.11072066,4.999181698,-0.821869625,0.175959505,-0.637081878,21874_A
0.123235218,1.328691978,13.9512413,0.915304378,2.05956571,1.676471963,-0.682654212,4.580978424,21884_A
-0.799754727,0.923718675,12.13560194,-0.974594204,3.897858152,3.382486499,-0.74421048,3.134052051,21884_B
0.120977713,3.825128869,18.64496393,3.397317753,4.17466944,2.64011514,-5.484148244,-0.861039306,21916_A
4.052660547,2.931860325,-8.473578733,-6.981535895,5.272303679,2.915800415,0.516741964,-0.519062585,21916_B
0.918254124,0.359877348,4.185672534,-0.661838093,8.683277481,6.763604846,-0.275304507,0.756210294,21931_B
3.173714396,5.70258249,5.557509892,-3.742885247,1.031914779,-3.363366011,-1.318219433,1.406447717,21931_A
4.688460843,0.663854438,-3.811663348,-5.91981441,1.507492843,-1.387446893,1.427381922,5.247553539,21946_B
1.911250082,1.617825712,15.72152927,0.604206092,0.419620181,0.674714558,-2.001853674,5.110688823,21946_A
