Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Sample
-1.9096182,-3.836423677,-9.461633139,2.392916959,4.05883174,0.58182793,-4.85384962,-4.546255361,21103_A
-2.522174322,0.603764718,-14.1740561,-0.693158915,-0.495075814,-0.456669369,-0.371644099,-1.831006984,21103_B
1.30115613,-1.29879298,-10.69129317,-1.237261896,-0.366345182,-0.669611141,-1.198729636,-1.668027572,21106_B
0.918629467,-2.47938925,-11.2798771,0.398947042,-1.846059136,-1.426088558,-3.127871943,0.096866828,21106_A
1.871375212,-2.692800574,-14.08365454,-2.784358575,-2.972331043,0.787564495,4.455304514,0.507495531,21117_B
4.353755643,-1.56204431,-13.88560146,-1.674524169,-3.188378086,-1.775344422,1.504751788,0.5460307,21117_A
2.397116343,-6.122200902,-7.059336539,0.863777535,1.084337754,-2.624101683,-7.369399807,2.832078466,21134_A
-0.118490705,-3.936503746,-18.22734365,-0.848065672,-0.586333655,1.395092674,4.313047826,1.321020625,21134_B
-4.402155931,-1.285978157,2.606514829,1.967582889,-7.10362882,4.76984793,-5.221440441,1.154137932,21151_A
3.486296639,3.244243896,-4.768168818,-4.094021771,-4.607805188,-0.068673122,-2.360097899,-6.528815962,21151_B
-1.962514933,-7.04876575,-10.17452189,-1.711171072,1.053971745,2.965852133,0.01979796,3.905257041,21217_B
-1.975350995,-0.187112785,-4.432200371,-3.012877373,-1.123855363,4.80972854,-1.626988552,-2.70670969,21217_A
-3.842749981,-11.85584628,9.627385843,-0.413162242,-2.51273454,-0.051356573,2.435670216,4.912507338,21235_B
-5.854213273,3.384875389,3.770668659,-3.719185292,-2.442242066,-0.53764814,-2.936023895,-1.816423978,21235_A
-4.862377206,4.074302393,-0.054500425,-4.319715796,-1.568525908,-2.804959539,3.407789782,0.808854374,21241_A
-5.872499879,3.767311389,-4.199127177,-3.582794626,1.569803293,-2.754939109,-0.779928857,-3.284631472,21241_B
-0.188627805,-4.350388229,4.930507548,-7.660392008,0.632168945,-1.451461723,-1.811060153,2.532273692,21289_B
1.917444472,-7.493906665,14.26476975,-2.495441434,-4.98555199,-1.62807833,1.566716602,-5.778034468,21289_A
-6.706622509,1.798882667,-2.995484094,-0.827307267,-1.053092015,-3.822193014,-1.111517794,-2.851165419,21353_B
-10.82978596,-2.160282608,-4.321338483,7.3824044,-1.088501906,-5.193909277,-0.08346614,5.400408787,21353_A
1.265664855,-7.861168062,0.993918272,-5.350118286,3.429921194,-2.923768302,1.663529721,-2.020335984,21385_B
-3.038584163,-2.434899938,-10.70714573,5.510733597,10.87160725,4.950566724,0.521775156,-2.326116345,21385_A
5.926746471,7.153241631,0.116764059,2.703367979,-3.363305148,-2.993143603,0.327515199,-0.939774404,21399_A
3.416814715,0.980994489,-4.011997674,1.253323045,1.99593308,1.881602124,1.232687817,1.508144987,21399_B
6.975254812,2.521732662,-2.077245094,3.850014084,-1.330248285,-1.21224902,-0.051308257,1.76764484,21413_B
5.744470768,3.825461861,-3.877728864,2.678280856,-1.599545089,0.334951072,4.842509701,0.877670517,21413_A
7.535364189,3.030479681,-3.604495963,2.404892878,-2.754085145,-2.027509383,2.326390124,2.115565204,21444_A
5.980410258,-0.830340958,-0.061275068,4.144458668,1.95827028,-1.503335508,-4.201542177,3.492307246,21444_B
4.037002275,4.245911009,-6.818400042,3.808518651,2.483319277,-0.987333443,0.085798792,-1.823814024,21474_B
-2.09077575,3.341105687,7.068710868,4.309316669,-5.159727362,7.457566609,-0.943905385,1.778268234,21474_A
1.676365171,1.56130179,1.540160204,-1.21500415,1.873606487,4.518492587,1.565058018,-1.2352617,21566_A
4.218263201,0.847111215,7.609223896,2.70045856,1.671549577,1.392881313,-4.329619155,0.442391745,21566_B
0.166484838,3.943052532,0.58809564,0.662863342,-0.924774489,5.901863553,0.268460573,0.411612406,21576_B
0.641017936,-4.30617316,28.57210297,6.233427709,-0.499409596,-2.243504059,-3.610571242,-1.554599464,21576_A
-4.482040693,6.345457195,11.7398415,-1.386920694,0.031060164,2.276666963,0.077206356,0.289533507,21686_A
-4.256285498,5.056684502,4.00359808,-1.257760443,0.357998727,-0.371671694,6.305271797,5.14979342,21686_B
-5.21690411,5.867368311,2.926488374,-0.675293232,4.282034341,0.7588964,1.816618042,-0.31057778,21730_A
6.239273414,4.310167322,15.73843308,-12.36357098,5.526234939,1.40060558,-4.149526245,5.870254236,21730_B
0.988659853,-6.273317831,20.66138035,2.405743352,-0.4846816,2.479355394,5.713910721,-3.215529833,21837_B
-3.232876238,7.008904105,6.242114973,1.728844156,2.040575652,-2.80569388,0.369634251,-1.862615512,21837_A
-0.948339327,5.822886803,6.431678266,2.120933328,2.209065576,-4.657386728,-0.445545139,1.55520123,21872_A
3.255420819,-4.718905385,11.53406824,1.801300189,4.925947403,-1.672732404,5.764591481,-2.975622934,21872_B
