Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Sample
-2.018986016,-4.002673531,-6.650873715,3.378842646,3.657667097,-2.744890542,-3.660996183,-6.183303329,21103_A
-5.132524777,1.235639303,-9.438157724,-0.590311594,-0.958891494,-0.92190163,3.147348552,-0.590564429,21103_B
-0.62575407,-1.260561494,-9.201053835,0.348069984,0.195715707,-0.420962273,3.055162874,-1.276168429,21106_B
0.667224063,4.82890471,-11.37579888,-3.893467291,-1.186722709,-2.725607598,4.305146449,3.393371748,21106_A
2.87019771,7.327953896,-7.803287319,-3.762974431,-1.089678549,-5.917169525,-0.154107577,-0.631079357,21117_B
3.238755891,2.977897925,-8.169820287,-2.95260987,-0.738217574,-4.364978113,0.22553427,-0.277961576,21117_A
-3.441663298,-12.88334966,4.514429679,-2.073038744,1.211822082,-8.744579977,5.490625653,-3.754404512,21121_A
4.073240902,-8.535711725,-10.66861396,7.629604771,-3.284931896,-2.663956591,-4.942113472,4.037741478,21121_B
2.131811837,0.904101888,-2.301583186,0.619987169,-5.643447757,-1.853321885,0.064354492,-3.079290252,21150_A
-8.068439525,-0.475193714,1.865295689,-0.898017106,-2.823243743,-0.170293933,1.498496308,2.238359683,21150_B
-1.681523995,-0.937319881,-0.707144942,-0.546882306,-1.925135269,-0.665554625,-6.480515706,-1.988713462,21217_B
1.259961627,-10.80991732,-3.699520329,-2.150993461,-3.10835004,5.185148148,2.335925677,-0.34666881,21217_A
-8.015495243,-0.319780559,3.32136588,0.578997596,-2.739546717,-4.102409658,-5.781573956,0.398796532,21248_B
6.182335659,-12.04028631,7.168381972,-3.375149708,-4.25497458,-5.921805218,-4.184972645,1.82492394,21248_A
-8.44977148,-3.609032961,-5.172907027,-0.806905171,-0.861485746,4.745166936,2.931946034,-0.684200275,21257_B
-2.343031066,4.329695625,-0.58952894,-3.245818468,-5.490496505,3.851398491,1.250354625,0.686350105,21257_A
-11.27837051,-4.666145503,2.067042176,-2.022181415,-0.177647754,-1.472765451,3.014251929,0.932445884,21300_B
-2.772252173,4.637031477,0.506938849,-2.441912481,-0.642986279,-0.166794622,-5.741001111,-1.67737868,21300_A
-7.893796364,0.038525218,-4.378813852,-0.826162649,0.860516637,0.845052187,-4.277781322,0.436994328,21482_A
4.514530359,-10.78896638,-3.615316459,-5.322494992,3.34408309,3.739028227,-1.123554279,-0.856814312,21482_B
3.883880875,-4.086703722,0.132554191,-5.019249744,0.621503211,1.649935827,-3.668607487,-1.42918576,21551_B
-3.392372678,-4.548107434,-7.60448777,-3.042655287,3.470925619,2.668195928,-3.311208561,1.702893318,21551_A
0.0453697,0.062474689,2.6742605,-3.443175442,-5.094891689,0.993880987,-2.808526483,-2.751022374,21576_B
2.543668972,-2.841594913,-3.19038339,-2.976454555,-1.561837593,3.797593622,-1.120672907,-1.472570299,21576_A
-3.094378508,-1.539015839,-6.464525072,5.335652625,8.615454379,0.929037178,0.73494585,-2.548578131,21658_A
3.782639665,11.50249547,2.338037071,2.099862524,0.402937542,-4.130913703,1.74418183,-1.810385239,21658_B
1.761057473,1.0938425,-4.557032006,3.561515795,2.171919027,0.930777718,4.957562394,-0.222078278,21686_A
4.010358535,10.47960252,0.328125414,1.781035765,1.360512454,-4.275514852,0.981120565,-1.446830436,21686_B
5.956001098,12.80980551,-0.089086979,-1.427366377,0.687853904,-5.148915123,2.628321919,0.714540497,21786_A
6.088364238,8.158101923,-0.826725102,-0.841206417,0.943984213,-4.15426949,1.841512438,-0.361344146,21786_B
-1.602295086,-8.54946638,10.02090781,1.52699952,2.464981529,-6.784091868,7.817198238,-2.643721053,21787_B
4.969547771,-5.713290801,-6.596705585,10.50675774,-2.050219185,-1.110065804,-2.881316031,5.426937977,21787_A
0.704381032,3.033675583,-1.349805464,3.657473104,-1.541536141,2.077658093,4.790392006,1.567825197,21837_B
-6.681008943,2.836370633,5.818757004,0.889189646,-1.190282695,1.609627587,5.013632427,5.054694779,21837_A
-2.900945515,-4.530843782,6.303770736,4.548502037,-0.89498674,1.922891012,1.191385095,-0.081474154,21840_B
6.947384016,-1.537368798,2.946781797,5.583667741,-5.688551948,10.48142359,3.425914073,-6.52561226,21840_A
-3.788505515,3.820003054,10.43356566,3.601795764,-1.11553295,-2.501347914,-4.074426736,0.458919368,21864_B
5.166224667,-12.61945027,10.74093419,0.585597674,0.158179366,-3.093057887,0.464509878,5.219133678,21864_A
-3.205627392,2.785273686,6.019594065,3.629588984,1.898760462,3.291772164,0.505551681,-2.283345328,21872_A
-0.623735766,9.157505003,2.861882434,-1.425734804,-0.235627414,4.160295385,2.944923951,4.516588803,21872_B
0.016109639,8.126216559,9.14260023,1.01131306,0.845923957,-0.027505206,-4.896508716,-3.010003506,21874_B
-2.211639928,6.950671021,2.769806093,-0.583131311,3.151014153,2.704233952,-2.167500144,1.846746823,21874_A
-1.736272567,9.477419686,3.849042743,0.21804229,1.699254988,1.563696496,-2.493476771,3.559773428,21884_A
6.987898587,-6.987752262,5.146608749,-2.598501057,7.556540415,2.367893824,0.77271075,1.890700255,21884_B
4.945769192,-2.082771549,3.786886458,-3.689112253,2.844173564,3.90023978,0.72941442,1.971285482,21916_A
0.160823363,1.620891278,0.157982924,0.677187221,7.639503727,2.774500922,-4.854120301,1.011406618,21916_B
2.560540236,5.096025644,7.773432669,-0.46635492,-1.09957279,2.738384575,-1.436491379,-1.701982722,21931_B
5.490313303,2.07517997,1.762186826,-1.347821805,-0.404431365,5.154840857,2.197047388,0.744251187,21931_A
