Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Sample
-1.920188713,-1.672851111,-15.64643202,-0.074506314,3.771986499,-1.01836584,3.804881813,2.845234686,21121_A
0.66827067,2.598608855,-14.29831765,-0.851467167,2.096271639,-4.834072264,-1.894684644,-1.454925227,21121_B
3.10301465,-14.27014285,2.050094408,-8.241147226,10.20823561,-4.161809801,-2.062475557,1.208809723,21150_A
1.085083879,-12.47020414,-0.97473488,13.09661384,-5.827327272,-5.122795574,-1.822949932,0.723439547,21150_B
0.73292422,-3.568210457,-4.011896085,0.972450451,-2.713441321,-3.931206036,0.119263719,-5.152140967,21248_B
-3.454721841,0.6896027,2.658397924,-5.272786551,-1.2004976,-5.200775849,4.262183985,-1.250679984,21248_A
-1.803228776,-3.319410632,-0.908140206,-2.686385762,-3.451285728,0.659537553,0.809488073,-3.575825409,21257_B
-3.345083688,1.071914681,4.9629644,-3.825544167,-2.487659348,-8.924010532,-2.226327343,-1.273597243,21257_A
-6.665748185,-6.125982354,1.392472577,0.27063709,2.536297064,2.545292182,-0.635375874,2.092234155,21300_B
-3.009364617,1.001424967,-1.725897081,-1.946681669,-4.938884739,-2.501808365,-1.357235525,3.953201438,21300_A
-2.49557653,2.632570992,-1.709558812,-2.342952467,-1.537037087,-0.312011456,-3.146558291,-1.62010689,21482_A
-6.987471231,-3.303977776,-0.756254775,0.765269564,4.075543585,3.548480547,-1.344388938,-0.990012342,21482_B
2.968230007,-5.446617142,-2.801687451,-6.807065596,-6.108946978,3.929217801,-3.432159363,0.571180952,21551_B
-3.475375171,-6.591393311,-3.546490515,-0.738025282,1.460936933,7.176208113,-0.944406425,0.312576694,21551_A
0.741607985,-0.632594624,0.101620639,-6.922776617,-7.853099068,-2.601930502,-1.7428369,1.92041882,21658_A
1.155962642,-5.004763862,-3.750701334,-3.632790506,-5.900565441,5.141736281,2.074889719,-3.211558895,21658_B
2.413333719,7.457574659,-6.624186901,3.743968905,5.246147073,-1.616164957,1.133390161,-1.064187096,21786_A
4.533834442,11.14542524,-9.237779273,1.801733435,3.891277312,-4.152815356,-1.231065137,-1.684288064,21786_B
5.213777122,-7.718477908,7.196210253,-3.828715905,12.16319426,-1.884203107,0.319849206,1.476872408,21787_B
2.322762831,-8.173820642,3.143042674,16.70934841,-3.487808318,-2.64236914,0.888204667,2.566100368,21787_A
0.232465255,1.049171089,-0.266759894,5.753128009,1.831001939,1.092419502,4.664308122,-1.357104521,21840_B
-1.740388561,5.400415304,5.454907886,-3.110177669,0.322570386,-3.921793954,6.512551884,2.865669763,21840_A
0.640439815,-1.905834206,9.874626367,0.135540327,0.051272897,1.688448551,5.037641127,-2.854724719,21864_B
0.70751578,7.510042406,9.774749119,-0.797406168,-1.826637012,-6.307869744,-0.397806107,-1.667323956,21864_A
-0.75912967,4.415097541,9.474432784,4.935747078,3.327240093,2.127210637,-4.174676504,-3.192106424,21874_B
-0.823453308,8.46072131,0.784920897,2.528964603,0.672745619,1.325273032,-1.026546503,4.550916101,21874_A
-1.404614937,6.935776367,0.794671779,0.335560561,1.233053943,3.645806832,0.601598368,2.674694051,21884_A
-1.236801392,9.619735807,2.875037573,4.417069452,2.962837403,1.968246466,-3.788422184,0.3776346,21884_B
5.570388197,0.891940796,2.187516374,-3.606052019,-3.256484735,6.310126045,-1.450829634,1.578376339,21916_A
0.100498263,2.160652464,1.419091636,3.139094051,3.914169542,10.47643056,-0.679028493,-2.174468161,21916_B
3.150296832,6.206388036,3.74542245,-2.64653807,-4.781220668,0.93057001,-1.137170337,2.490496769,21931_B
3.780740311,0.957217809,-1.631342862,-1.274106621,-4.39388648,6.568998364,4.266692846,0.315193484,21931_A
