Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Sample
0.275202811,-5.905980822,-10.01156554,-0.48099165,-1.108264873,-0.793594942,-1.926491264,2.001633002,21134_A
0.970624421,-4.523659062,-11.86971484,-3.986853087,-7.289363212,3.080424568,2.944477823,0.07092277,21134_B
1.337936787,-9.656966225,-2.150897254,1.420555626,-0.117474686,-4.96550565,2.187453878,3.032566485,21151_A
-1.303161452,-8.077217288,-15.67700613,3.624247356,2.728243369,3.401338591,-4.129908652,-2.486043534,21151_B
-1.046473946,-2.054413974,2.877071414,-7.605556999,7.077018523,-3.650538203,-0.637190815,-2.306935514,21235_B
1.92118336,-0.193727632,-10.60246728,-5.484195701,-8.026937418,-1.554253024,0.418704753,2.58458949,21235_A
-1.96649064,-10.46030558,-3.704449416,3.280516236,4.057705497,-0.574475423,1.669328935,3.302839133,21241_A
-1.259115797,-2.010672518,-4.417570218,-2.208475547,2.138541311,0.224611123,-6.36120266,-0.064362192,21241_B
-3.83606665,-14.01155781,22.98158062,0.923152773,-0.296400984,5.092991238,3.175696026,-4.401707913,21289_B
-4.818748624,1.947480557,1.652104505,-2.911923487,-2.957836162,1.430553006,-2.315867887,2.007064558,21289_A
-3.903892612,4.086918671,-2.280602273,0.126571962,-4.928898662,-4.122872705,0.634272508,-4.9610117,21353_B
-5.073161963,3.094170065,-6.434611111,1.67620869,-2.571122013,-3.116219061,-1.572958147,-0.732376126,21353_A
-4.975393008,1.062780068,-4.376777815,0.333780098,-1.558197968,-3.122348277,1.151141869,0.086461289,21385_B
6.006058102,1.418275714,-4.362177585,1.160956439,-0.571895333,0.004188529,-0.524768748,-2.946235573,21385_A
5.007186617,3.294561902,-7.215395967,-0.503041997,-3.078711088,4.017839015,2.078155095,-5.174782941,21399_A
5.541995701,-1.632622246,1.323901348,2.595415436,1.073717701,-3.3712907,3.087696676,0.810453936,21399_B
3.928385074,4.000125955,-9.712768922,2.914416108,0.184844784,1.222746542,-2.801606136,-3.700510058,21413_B
1.522498512,4.218860874,3.504200879,-6.041168252,10.45473917,-0.576836397,3.598003201,-1.521067542,21413_A
2.278153661,2.113308444,2.193436388,-0.209943012,-1.518955088,4.653917161,1.702845797,6.598381622,21444_A
4.570004642,0.509771467,8.398890129,2.969268431,1.046880539,-3.809703955,-1.739495589,3.106088712,21444_B
1.029606461,2.436905049,-3.30241811,0.030202285,7.391193752,3.574377205,-2.358296818,1.747271006,21474_B
3.115575282,-0.240295993,38.78607167,-0.277689287,-5.189358984,-1.515837478,-4.326017183,-0.901340782,21474_A
-2.258134694,8.149431259,9.558337485,-1.241098897,-0.530405183,4.303561634,-0.580252747,3.700554843,21566_A
-2.512754317,6.247978366,2.047763029,2.854785113,0.530780264,0.399357117,4.738949245,-0.485952809,21566_B
-2.956375445,8.069085898,1.298547505,3.310379036,1.711057687,1.151945549,0.618915206,2.095348616,21730_A
-1.594642283,8.117764864,1.496517488,3.730482327,1.349099049,-1.384375465,1.268415634,-1.461848777,21730_B
